tagNumber,tagDescription,tagStatus,equipmentClassId,manufacturer,criticalityClass,installationDate,cfihosId
K-43,Centrifugal Compressor K-43,Decommissioned,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Low,2013-05-14,CFIHOS-00000028
V-44,Separator V-44,Decommissioned,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,Low,2017-04-14,CFIHOS-00000028
E-45,Shell & Tube Exchanger E-45,Out of Service,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,Low,2012-10-11,CFIHOS-00000028
PT-46,Pressure Transmitter PT-46,Commissioning,EC-INST-PT,Reedmoor Pumps & Compressors,High,2015-10-01,CFIHOS-00000028
K-47,Centrifugal Compressor K-47,Commissioning,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,Medium,2013-10-03,CFIHOS-00000028
FT-48,Flow Transmitter FT-48,Decommissioned,EC-INST-FT,Reedmoor Pumps & Compressors,Low,2017-10-13,CFIHOS-00000028
COL-49,Distillation Column COL-49,In Service,EC-VESSEL-COL,Ironclad Controls Inc.,Low,2020-11-29,CFIHOS-00000028
PT-50,Pressure Transmitter PT-50,Out of Service,EC-INST-PT,Halberd Valve Corporation,Medium,2012-04-11,CFIHOS-00000028
K-51,Centrifugal Compressor K-51,Decommissioned,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,High,2015-04-29,CFIHOS-00000028
TT-52,Temperature Transmitter TT-52,In Service,EC-INST-TT,Ironclad Controls Inc.,High,2018-06-01,CFIHOS-00000028
PT-53,Pressure Transmitter PT-53,Out of Service,EC-INST-PT,Ironclad Controls Inc.,Medium,2022-11-21,CFIHOS-00000028
TT-54,Temperature Transmitter TT-54,Decommissioned,EC-INST-TT,Reedmoor Pumps & Compressors,Medium,2021-01-14,CFIHOS-00000028
FCV-55,Control Valve FCV-55,Decommissioned,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2017-04-30,CFIHOS-00000028
P-56,Centrifugal Pump P-56,Decommissioned,EC-PUMP-CENTR,Ironclad Controls Inc.,High,2019-07-30,CFIHOS-00000028
K-57,Centrifugal Compressor K-57,Out of Service,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Medium,2014-03-15,CFIHOS-00000028
XV-58,Isolation Valve XV-58,Commissioning,EC-VALVE-ISO,Reedmoor Pumps & Compressors,Medium,2018-01-16,CFIHOS-00000028
LT-59,Level Transmitter LT-59,Decommissioned,EC-INST-LT,Halberd Valve Corporation,High,2021-11-27,CFIHOS-00000028
XV-60,Isolation Valve XV-60,Decommissioned,EC-VALVE-ISO,Halberd Valve Corporation,Medium,2013-04-05,CFIHOS-00000028
PT-61,Pressure Transmitter PT-61,Commissioning,EC-INST-PT,Ironclad Controls Inc.,Low,2023-05-14,CFIHOS-00000028
V-62,Separator V-62,Commissioning,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2015-11-24,CFIHOS-00000028
XV-63,Isolation Valve XV-63,Commissioning,EC-VALVE-ISO,Reedmoor Pumps & Compressors,High,2022-03-28,CFIHOS-00000028
P-64,Centrifugal Pump P-64,Out of Service,EC-PUMP-CENTR,Ironclad Controls Inc.,Medium,2022-05-30,CFIHOS-00000028
PT-65,Pressure Transmitter PT-65,Decommissioned,EC-INST-PT,Halberd Valve Corporation,High,2020-05-09,CFIHOS-00000028
E-66,Shell & Tube Exchanger E-66,Decommissioned,EC-HEATEXCH-SHELL,Reedmoor Pumps & Compressors,Low,2019-11-05,CFIHOS-00000028
COL-67,Distillation Column COL-67,Commissioning,EC-VESSEL-COL,Halberd Valve Corporation,Medium,2012-08-12,CFIHOS-00000028
V-68,Separator V-68,In Service,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2016-12-18,CFIHOS-00000028
FT-69,Flow Transmitter FT-69,Commissioning,EC-INST-FT,Ironclad Controls Inc.,Low,2021-03-08,CFIHOS-00000028
PT-70,Pressure Transmitter PT-70,In Service,EC-INST-PT,Reedmoor Pumps & Compressors,High,2015-11-19,CFIHOS-00000028
TT-71,Temperature Transmitter TT-71,In Service,EC-INST-TT,Ironclad Controls Inc.,Low,2018-11-07,CFIHOS-00000028
LT-72,Level Transmitter LT-72,Out of Service,EC-INST-LT,Ironclad Controls Inc.,Medium,2022-04-18,CFIHOS-00000028
PSV-73,Pressure Relief Valve PSV-73,Commissioning,EC-VALVE-RELIEF,Ironclad Controls Inc.,Low,2023-09-05,CFIHOS-00000028
TT-74,Temperature Transmitter TT-74,Decommissioned,EC-INST-TT,Halberd Valve Corporation,High,2023-06-22,CFIHOS-00000028
FT-75,Flow Transmitter FT-75,Out of Service,EC-INST-FT,Ironclad Controls Inc.,Low,2018-05-04,CFIHOS-00000028
PSV-76,Pressure Relief Valve PSV-76,In Service,EC-VALVE-RELIEF,Halberd Valve Corporation,Medium,2018-03-14,CFIHOS-00000028
FT-77,Flow Transmitter FT-77,Out of Service,EC-INST-FT,Ironclad Controls Inc.,Low,2018-09-13,CFIHOS-00000028
XV-78,Isolation Valve XV-78,Commissioning,EC-VALVE-ISO,Reedmoor Pumps & Compressors,High,2021-01-23,CFIHOS-00000028
FT-79,Flow Transmitter FT-79,Out of Service,EC-INST-FT,Halberd Valve Corporation,Low,2023-02-26,CFIHOS-00000028
PSV-80,Pressure Relief Valve PSV-80,Out of Service,EC-VALVE-RELIEF,Ironclad Controls Inc.,Medium,2012-10-16,CFIHOS-00000028
TT-81,Temperature Transmitter TT-81,Commissioning,EC-INST-TT,Reedmoor Pumps & Compressors,Low,2023-12-28,CFIHOS-00000028
FT-82,Flow Transmitter FT-82,Decommissioned,EC-INST-FT,Halberd Valve Corporation,Medium,2015-10-24,CFIHOS-00000028
FT-83,Flow Transmitter FT-83,Commissioning,EC-INST-FT,Halberd Valve Corporation,Medium,2014-11-14,CFIHOS-00000028
LT-84,Level Transmitter LT-84,Out of Service,EC-INST-LT,Reedmoor Pumps & Compressors,Low,2019-07-12,CFIHOS-00000028
FT-85,Flow Transmitter FT-85,In Service,EC-INST-FT,Ironclad Controls Inc.,High,2018-11-20,CFIHOS-00000028
V-86,Separator V-86,Out of Service,EC-VESSEL-SEP,Ironclad Controls Inc.,Low,2018-08-05,CFIHOS-00000028
E-87,Shell & Tube Exchanger E-87,In Service,EC-HEATEXCH-SHELL,Halberd Valve Corporation,Low,2013-08-06,CFIHOS-00000028
E-88,Shell & Tube Exchanger E-88,Commissioning,EC-HEATEXCH-SHELL,Halberd Valve Corporation,Low,2020-07-23,CFIHOS-00000028
PT-89,Pressure Transmitter PT-89,Out of Service,EC-INST-PT,Halberd Valve Corporation,High,2015-01-30,CFIHOS-00000028
XV-90,Isolation Valve XV-90,Out of Service,EC-VALVE-ISO,Ironclad Controls Inc.,Medium,2015-03-19,CFIHOS-00000028
COL-91,Distillation Column COL-91,Commissioning,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Medium,2015-12-19,CFIHOS-00000028
COL-92,Distillation Column COL-92,In Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Medium,2016-09-11,CFIHOS-00000028
K-93,Centrifugal Compressor K-93,Commissioning,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Medium,2013-12-22,CFIHOS-00000028
FCV-94,Control Valve FCV-94,Decommissioned,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2022-09-15,CFIHOS-00000028
V-95,Separator V-95,In Service,EC-VESSEL-SEP,Halberd Valve Corporation,High,2020-05-14,CFIHOS-00000028
P-96,Centrifugal Pump P-96,Out of Service,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,High,2012-02-03,CFIHOS-00000028
FT-97,Flow Transmitter FT-97,Commissioning,EC-INST-FT,Ironclad Controls Inc.,Medium,2014-11-22,CFIHOS-00000028
P-98,Reciprocating Pump P-98,Decommissioned,EC-PUMP-RECIP,Ironclad Controls Inc.,Medium,2015-09-30,CFIHOS-00000028
P-99,Reciprocating Pump P-99,In Service,EC-PUMP-RECIP,Ironclad Controls Inc.,Medium,2023-09-02,CFIHOS-00000028
TT-100,Temperature Transmitter TT-100,Out of Service,EC-INST-TT,Reedmoor Pumps & Compressors,Medium,2022-12-29,CFIHOS-00000028
COL-101,Distillation Column COL-101,Commissioning,EC-VESSEL-COL,Ironclad Controls Inc.,High,2017-02-14,CFIHOS-00000028
XV-102,Isolation Valve XV-102,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,Low,2023-04-26,CFIHOS-00000028
FCV-103,Control Valve FCV-103,In Service,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2017-09-26,CFIHOS-00000028
PT-104,Pressure Transmitter PT-104,In Service,EC-INST-PT,Halberd Valve Corporation,Low,2014-06-04,CFIHOS-00000028
FT-105,Flow Transmitter FT-105,In Service,EC-INST-FT,Halberd Valve Corporation,Medium,2021-12-18,CFIHOS-00000028
V-106,Separator V-106,In Service,EC-VESSEL-SEP,Ironclad Controls Inc.,Medium,2015-06-08,CFIHOS-00000028
XV-107,Isolation Valve XV-107,In Service,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2014-04-07,CFIHOS-00000028
FT-108,Flow Transmitter FT-108,Out of Service,EC-INST-FT,Ironclad Controls Inc.,Low,2015-01-28,CFIHOS-00000028
V-109,Separator V-109,In Service,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2018-05-04,CFIHOS-00000028
P-110,Reciprocating Pump P-110,In Service,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Low,2016-06-24,CFIHOS-00000028
K-111,Centrifugal Compressor K-111,Out of Service,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Medium,2021-03-10,CFIHOS-00000028
PSV-112,Pressure Relief Valve PSV-112,Commissioning,EC-VALVE-RELIEF,Halberd Valve Corporation,Medium,2016-08-28,CFIHOS-00000028
LT-113,Level Transmitter LT-113,Decommissioned,EC-INST-LT,Reedmoor Pumps & Compressors,High,2012-04-14,CFIHOS-00000028
FT-114,Flow Transmitter FT-114,In Service,EC-INST-FT,Ironclad Controls Inc.,Low,2023-01-30,CFIHOS-00000028
FCV-115,Control Valve FCV-115,In Service,EC-VALVE-CTRL,Halberd Valve Corporation,Low,2014-04-09,CFIHOS-00000028
PSV-116,Pressure Relief Valve PSV-116,Commissioning,EC-VALVE-RELIEF,Ironclad Controls Inc.,Medium,2022-05-31,CFIHOS-00000028
P-117,Centrifugal Pump P-117,In Service,EC-PUMP-CENTR,Halberd Valve Corporation,Medium,2020-01-29,CFIHOS-00000028
K-118,Centrifugal Compressor K-118,Out of Service,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,High,2013-01-10,CFIHOS-00000028
P-119,Centrifugal Pump P-119,Commissioning,EC-PUMP-CENTR,Ironclad Controls Inc.,Medium,2021-10-25,CFIHOS-00000028
TT-120,Temperature Transmitter TT-120,Out of Service,EC-INST-TT,Ironclad Controls Inc.,Medium,2016-02-07,CFIHOS-00000028
P-121,Reciprocating Pump P-121,Decommissioned,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Medium,2020-08-25,CFIHOS-00000028
LT-122,Level Transmitter LT-122,Decommissioned,EC-INST-LT,Reedmoor Pumps & Compressors,High,2014-12-21,CFIHOS-00000028
LT-123,Level Transmitter LT-123,In Service,EC-INST-LT,Halberd Valve Corporation,Medium,2022-10-29,CFIHOS-00000028
K-124,Centrifugal Compressor K-124,Decommissioned,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Medium,2020-01-16,CFIHOS-00000028
TT-125,Temperature Transmitter TT-125,In Service,EC-INST-TT,Reedmoor Pumps & Compressors,Medium,2014-07-14,CFIHOS-00000028
V-126,Separator V-126,Decommissioned,EC-VESSEL-SEP,Halberd Valve Corporation,Medium,2019-01-18,CFIHOS-00000028
P-127,Centrifugal Pump P-127,Commissioning,EC-PUMP-CENTR,Halberd Valve Corporation,Low,2014-02-19,CFIHOS-00000028
V-128,Separator V-128,Commissioning,EC-VESSEL-SEP,Ironclad Controls Inc.,Low,2020-08-18,CFIHOS-00000028
FCV-129,Control Valve FCV-129,In Service,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,Low,2022-07-11,CFIHOS-00000028
E-130,Shell & Tube Exchanger E-130,Commissioning,EC-HEATEXCH-SHELL,Reedmoor Pumps & Compressors,Medium,2017-05-27,CFIHOS-00000028
COL-131,Distillation Column COL-131,Out of Service,EC-VESSEL-COL,Halberd Valve Corporation,High,2020-06-28,CFIHOS-00000028
V-132,Separator V-132,Commissioning,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,Medium,2022-01-18,CFIHOS-00000028
P-133,Reciprocating Pump P-133,Decommissioned,EC-PUMP-RECIP,Ironclad Controls Inc.,High,2023-02-26,CFIHOS-00000028
LT-134,Level Transmitter LT-134,In Service,EC-INST-LT,Ironclad Controls Inc.,Medium,2012-10-20,CFIHOS-00000028
PT-135,Pressure Transmitter PT-135,In Service,EC-INST-PT,Ironclad Controls Inc.,Low,2018-10-31,CFIHOS-00000028
PT-136,Pressure Transmitter PT-136,Commissioning,EC-INST-PT,Ironclad Controls Inc.,Medium,2013-03-20,CFIHOS-00000028
XV-137,Isolation Valve XV-137,Decommissioned,EC-VALVE-ISO,Halberd Valve Corporation,Low,2022-08-11,CFIHOS-00000028
LT-138,Level Transmitter LT-138,Out of Service,EC-INST-LT,Halberd Valve Corporation,High,2016-12-21,CFIHOS-00000028
P-139,Centrifugal Pump P-139,Out of Service,EC-PUMP-CENTR,Ironclad Controls Inc.,Low,2023-09-16,CFIHOS-00000028
COL-140,Distillation Column COL-140,In Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Medium,2015-02-24,CFIHOS-00000028
LT-141,Level Transmitter LT-141,Decommissioned,EC-INST-LT,Ironclad Controls Inc.,Low,2016-05-23,CFIHOS-00000028
XV-142,Isolation Valve XV-142,In Service,EC-VALVE-ISO,Reedmoor Pumps & Compressors,Medium,2016-04-10,CFIHOS-00000028
LT-143,Level Transmitter LT-143,Out of Service,EC-INST-LT,Ironclad Controls Inc.,High,2014-10-06,CFIHOS-00000028
K-144,Centrifugal Compressor K-144,Decommissioned,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Low,2015-01-07,CFIHOS-00000028
E-145,Shell & Tube Exchanger E-145,In Service,EC-HEATEXCH-SHELL,Halberd Valve Corporation,Low,2021-09-15,CFIHOS-00000028
TT-146,Temperature Transmitter TT-146,Decommissioned,EC-INST-TT,Reedmoor Pumps & Compressors,Low,2015-11-23,CFIHOS-00000028
LT-147,Level Transmitter LT-147,Commissioning,EC-INST-LT,Ironclad Controls Inc.,Low,2019-03-21,CFIHOS-00000028
PT-148,Pressure Transmitter PT-148,Decommissioned,EC-INST-PT,Ironclad Controls Inc.,Low,2017-07-26,CFIHOS-00000028
PSV-149,Pressure Relief Valve PSV-149,Decommissioned,EC-VALVE-RELIEF,Ironclad Controls Inc.,Medium,2014-12-28,CFIHOS-00000028
FCV-150,Control Valve FCV-150,Decommissioned,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2019-01-15,CFIHOS-00000028
LT-151,Level Transmitter LT-151,Commissioning,EC-INST-LT,Reedmoor Pumps & Compressors,Low,2018-07-08,CFIHOS-00000028
FT-152,Flow Transmitter FT-152,Out of Service,EC-INST-FT,Reedmoor Pumps & Compressors,Low,2019-03-25,CFIHOS-00000028
LT-153,Level Transmitter LT-153,In Service,EC-INST-LT,Halberd Valve Corporation,Medium,2021-05-12,CFIHOS-00000028
FT-154,Flow Transmitter FT-154,Out of Service,EC-INST-FT,Halberd Valve Corporation,Low,2014-05-22,CFIHOS-00000028
P-155,Centrifugal Pump P-155,Decommissioned,EC-PUMP-CENTR,Halberd Valve Corporation,Low,2013-04-08,CFIHOS-00000028
XV-156,Isolation Valve XV-156,Out of Service,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2017-08-14,CFIHOS-00000028
FCV-157,Control Valve FCV-157,In Service,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,Low,2012-09-21,CFIHOS-00000028
COL-158,Distillation Column COL-158,Decommissioned,EC-VESSEL-COL,Ironclad Controls Inc.,Low,2017-01-11,CFIHOS-00000028
LT-159,Level Transmitter LT-159,Decommissioned,EC-INST-LT,Halberd Valve Corporation,Low,2018-06-14,CFIHOS-00000028
LT-160,Level Transmitter LT-160,In Service,EC-INST-LT,Ironclad Controls Inc.,Medium,2019-01-05,CFIHOS-00000028
PT-161,Pressure Transmitter PT-161,In Service,EC-INST-PT,Ironclad Controls Inc.,High,2021-12-08,CFIHOS-00000028
XV-162,Isolation Valve XV-162,Out of Service,EC-VALVE-ISO,Halberd Valve Corporation,Low,2016-05-28,CFIHOS-00000028
K-163,Centrifugal Compressor K-163,Commissioning,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,High,2013-09-02,CFIHOS-00000028
FCV-164,Control Valve FCV-164,Commissioning,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2012-11-28,CFIHOS-00000028
V-165,Separator V-165,Out of Service,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2015-08-11,CFIHOS-00000028
TT-166,Temperature Transmitter TT-166,Out of Service,EC-INST-TT,Ironclad Controls Inc.,Medium,2015-06-22,CFIHOS-00000028
P-167,Centrifugal Pump P-167,Commissioning,EC-PUMP-CENTR,Ironclad Controls Inc.,High,2018-10-03,CFIHOS-00000028
E-168,Shell & Tube Exchanger E-168,Out of Service,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,Low,2016-12-06,CFIHOS-00000028
FCV-169,Control Valve FCV-169,In Service,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,Medium,2021-01-17,CFIHOS-00000028
P-170,Reciprocating Pump P-170,Out of Service,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Low,2019-06-11,CFIHOS-00000028
COL-171,Distillation Column COL-171,Out of Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Low,2023-11-24,CFIHOS-00000028
E-172,Shell & Tube Exchanger E-172,In Service,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,Medium,2017-05-22,CFIHOS-00000028
FT-173,Flow Transmitter FT-173,Commissioning,EC-INST-FT,Ironclad Controls Inc.,Medium,2014-07-17,CFIHOS-00000028
V-174,Separator V-174,Out of Service,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2023-08-05,CFIHOS-00000028
K-175,Centrifugal Compressor K-175,Out of Service,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,Medium,2022-12-01,CFIHOS-00000028
P-176,Centrifugal Pump P-176,Out of Service,EC-PUMP-CENTR,Ironclad Controls Inc.,Low,2013-11-05,CFIHOS-00000028
P-177,Reciprocating Pump P-177,Commissioning,EC-PUMP-RECIP,Halberd Valve Corporation,High,2013-06-20,CFIHOS-00000028
XV-178,Isolation Valve XV-178,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,High,2021-10-05,CFIHOS-00000028
FT-179,Flow Transmitter FT-179,In Service,EC-INST-FT,Halberd Valve Corporation,Medium,2019-06-10,CFIHOS-00000028
P-180,Centrifugal Pump P-180,In Service,EC-PUMP-CENTR,Halberd Valve Corporation,High,2017-08-25,CFIHOS-00000028
PT-181,Pressure Transmitter PT-181,In Service,EC-INST-PT,Reedmoor Pumps & Compressors,Medium,2021-02-21,CFIHOS-00000028
V-182,Separator V-182,Decommissioned,EC-VESSEL-SEP,Ironclad Controls Inc.,Medium,2012-05-18,CFIHOS-00000028
V-183,Separator V-183,In Service,EC-VESSEL-SEP,Halberd Valve Corporation,Low,2013-06-02,CFIHOS-00000028
K-184,Centrifugal Compressor K-184,In Service,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Low,2014-05-19,CFIHOS-00000028
PSV-185,Pressure Relief Valve PSV-185,Out of Service,EC-VALVE-RELIEF,Halberd Valve Corporation,Medium,2021-10-25,CFIHOS-00000028
V-186,Separator V-186,Decommissioned,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,High,2023-12-19,CFIHOS-00000028
XV-187,Isolation Valve XV-187,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,Medium,2015-03-26,CFIHOS-00000028
PSV-188,Pressure Relief Valve PSV-188,Out of Service,EC-VALVE-RELIEF,Halberd Valve Corporation,Low,2015-03-04,CFIHOS-00000028
P-189,Reciprocating Pump P-189,In Service,EC-PUMP-RECIP,Ironclad Controls Inc.,Low,2020-11-02,CFIHOS-00000028
PT-190,Pressure Transmitter PT-190,In Service,EC-INST-PT,Reedmoor Pumps & Compressors,Low,2019-09-17,CFIHOS-00000028
XV-191,Isolation Valve XV-191,Decommissioned,EC-VALVE-ISO,Reedmoor Pumps & Compressors,High,2016-02-16,CFIHOS-00000028
XV-192,Isolation Valve XV-192,Out of Service,EC-VALVE-ISO,Halberd Valve Corporation,High,2013-03-21,CFIHOS-00000028
K-193,Centrifugal Compressor K-193,Decommissioned,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,Medium,2013-07-05,CFIHOS-00000028
PSV-194,Pressure Relief Valve PSV-194,In Service,EC-VALVE-RELIEF,Ironclad Controls Inc.,Medium,2019-06-03,CFIHOS-00000028
COL-195,Distillation Column COL-195,Commissioning,EC-VESSEL-COL,Halberd Valve Corporation,Medium,2013-07-25,CFIHOS-00000028
XV-196,Isolation Valve XV-196,Out of Service,EC-VALVE-ISO,Reedmoor Pumps & Compressors,Medium,2018-11-09,CFIHOS-00000028
TT-197,Temperature Transmitter TT-197,Commissioning,EC-INST-TT,Ironclad Controls Inc.,Medium,2019-02-04,CFIHOS-00000028
V-198,Separator V-198,Commissioning,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2016-12-19,CFIHOS-00000028
LT-199,Level Transmitter LT-199,Decommissioned,EC-INST-LT,Ironclad Controls Inc.,High,2019-06-09,CFIHOS-00000028
