incidentId,detectedDate,incidentType,severity,nis2Reportable,reportedToAuthorityDate
INC-000056,2025-03-13T18:03:56,Anomalous Network Traffic,High,true,2025-03-15T05:03:56
INC-000057,2024-07-26T01:03:48,Anomalous Network Traffic,Medium,false,
INC-000058,2024-05-07T07:20:05,Malware Detection,Medium,false,
INC-000059,2024-01-31T10:54:20,Unauthorized Access Attempt,Critical,true,2024-02-01T04:54:20
INC-000060,2024-06-08T03:14:41,Unauthorized Access Attempt,Medium,false,
INC-000061,2024-02-05T10:52:00,Configuration Tampering,Critical,true,2024-02-06T08:52:00
INC-000062,2025-02-26T18:50:13,Anomalous Network Traffic,High,true,2025-03-01T10:50:13
INC-000063,2025-06-04T19:27:50,Unauthorized Access Attempt,Critical,true,2025-06-05T21:27:50
INC-000064,2024-04-20T20:11:49,Malware Detection,Low,false,
INC-000065,2024-04-05T14:30:19,Anomalous Network Traffic,Critical,true,2024-04-08T10:30:19
INC-000066,2025-10-15T23:52:14,Unauthorized Access Attempt,High,true,2025-10-18T14:52:14
INC-000067,2026-06-11T09:32:03,Unauthorized Access Attempt,Low,false,
INC-000068,2025-07-20T22:47:02,Configuration Tampering,Medium,false,
INC-000069,2025-01-13T22:45:04,Malware Detection,Critical,true,2025-01-16T09:45:04
INC-000070,2026-03-26T09:49:32,Unauthorized Access Attempt,Medium,false,
INC-000071,2025-06-26T20:31:59,Denial of Service,High,true,2025-06-29T17:31:59
INC-000072,2024-10-01T17:59:00,Malware Detection,Critical,true,2024-10-03T17:59:00
INC-000073,2025-07-29T00:14:55,Anomalous Network Traffic,High,true,2025-07-30T17:14:55
INC-000074,2025-02-12T01:13:59,Suspicious Firmware Modification,Critical,true,2025-02-15T01:13:59
INC-000075,2025-07-21T17:36:20,Malware Detection,Critical,true,2025-07-23T09:36:20
INC-000076,2024-12-16T18:33:25,Unauthorized Access Attempt,Critical,true,2024-12-17T02:33:25
INC-000077,2024-05-13T14:13:52,Unauthorized Access Attempt,Critical,true,2024-05-16T00:13:52
INC-000078,2026-06-27T09:42:19,Malware Detection,Medium,false,
INC-000079,2024-12-29T13:41:00,Malware Detection,Medium,false,
INC-000080,2024-06-13T02:59:28,Denial of Service,High,true,2024-06-15T11:59:28
INC-000081,2026-03-01T22:44:12,Configuration Tampering,Low,false,
INC-000082,2024-02-15T08:48:08,Anomalous Network Traffic,Low,false,
INC-000083,2024-08-01T05:29:00,Denial of Service,Critical,true,2024-08-01T20:29:00
INC-000084,2024-05-12T02:36:57,Malware Detection,Low,false,
INC-000085,2026-03-22T12:11:16,Configuration Tampering,Critical,true,2026-03-23T23:11:16
INC-000086,2026-04-01T11:51:27,Unauthorized Access Attempt,Critical,true,2026-04-03T17:51:27
INC-000087,2024-01-25T13:54:24,Unauthorized Access Attempt,Low,false,
INC-000088,2024-09-16T09:06:25,Configuration Tampering,Critical,true,2024-09-16T14:06:25
INC-000089,2024-01-23T08:40:47,Configuration Tampering,Low,false,
INC-000090,2025-04-15T05:42:01,Denial of Service,Low,false,
INC-000091,2024-10-30T03:18:30,Malware Detection,High,true,2024-10-30T11:18:30
INC-000092,2025-07-01T16:37:47,Unauthorized Access Attempt,Medium,false,
INC-000093,2024-09-05T12:15:14,Malware Detection,Low,false,
INC-000094,2024-03-22T18:41:06,Unauthorized Access Attempt,Critical,true,2024-03-23T20:41:06
INC-000095,2025-03-04T05:26:38,Denial of Service,High,true,2025-03-04T19:26:38
INC-000096,2025-02-04T08:49:53,Configuration Tampering,Medium,false,
INC-000097,2025-01-24T05:44:12,Denial of Service,Critical,true,2025-01-24T12:44:12
INC-000098,2024-11-27T02:32:28,Malware Detection,Medium,false,
INC-000099,2024-10-10T20:39:18,Suspicious Firmware Modification,Critical,true,2024-10-13T17:39:18
INC-000100,2025-12-26T08:44:54,Suspicious Firmware Modification,Critical,true,2025-12-27T19:44:54
INC-000101,2025-10-21T06:10:28,Malware Detection,High,true,2025-10-22T19:10:28
INC-000102,2026-03-23T16:16:05,Configuration Tampering,Low,false,
INC-000103,2025-12-05T13:50:36,Suspicious Firmware Modification,Low,false,
INC-000104,2025-12-08T19:07:23,Denial of Service,Low,false,
INC-000105,2024-08-07T11:57:12,Unauthorized Access Attempt,Critical,true,2024-08-08T13:57:12
INC-000106,2024-04-01T07:51:08,Configuration Tampering,Low,false,
INC-000107,2025-05-20T12:30:31,Anomalous Network Traffic,Low,false,
INC-000108,2024-03-09T20:29:55,Configuration Tampering,Low,false,
INC-000109,2025-04-22T22:32:07,Denial of Service,Low,false,
INC-000110,2025-11-13T20:49:42,Configuration Tampering,High,true,2025-11-15T08:49:42
INC-000111,2025-08-20T07:37:40,Anomalous Network Traffic,Low,false,
INC-000112,2024-02-21T19:41:12,Anomalous Network Traffic,High,true,2024-02-22T18:41:12
INC-000113,2026-05-10T15:26:49,Denial of Service,Critical,true,2026-05-11T21:26:49
INC-000114,2025-02-18T09:33:15,Configuration Tampering,Medium,false,
INC-000115,2024-07-28T07:54:42,Denial of Service,Medium,false,
INC-000116,2025-08-20T08:02:25,Malware Detection,Critical,true,2025-08-22T10:02:25
INC-000117,2024-05-02T23:37:32,Malware Detection,Medium,false,
INC-000118,2024-10-04T09:27:00,Configuration Tampering,Medium,false,
INC-000119,2024-01-19T14:33:27,Configuration Tampering,High,true,2024-01-20T12:33:27
INC-000120,2026-05-20T00:46:02,Unauthorized Access Attempt,Low,false,
INC-000121,2026-03-05T00:12:13,Anomalous Network Traffic,Medium,false,
INC-000122,2025-05-04T18:55:23,Suspicious Firmware Modification,Medium,false,
INC-000123,2025-06-18T22:15:52,Configuration Tampering,Low,false,
INC-000124,2025-02-28T15:12:17,Unauthorized Access Attempt,Medium,false,
INC-000125,2026-04-25T21:44:30,Suspicious Firmware Modification,High,true,2026-04-27T23:44:30
INC-000126,2024-02-10T16:11:03,Unauthorized Access Attempt,Critical,true,2024-02-13T01:11:03
INC-000127,2026-04-05T23:19:43,Unauthorized Access Attempt,Low,false,
INC-000128,2024-06-01T02:55:14,Malware Detection,Medium,false,
INC-000129,2025-08-01T00:57:06,Suspicious Firmware Modification,Low,false,
INC-000130,2024-12-27T18:09:52,Configuration Tampering,Medium,false,
INC-000131,2026-02-23T15:37:19,Malware Detection,Critical,true,2026-02-23T17:37:19
INC-000132,2024-12-03T22:11:18,Suspicious Firmware Modification,Critical,true,2024-12-06T08:11:18
INC-000133,2025-04-21T18:48:52,Denial of Service,Critical,true,2025-04-22T11:48:52
INC-000134,2025-05-16T00:29:28,Configuration Tampering,Medium,false,
INC-000135,2026-05-11T16:27:37,Anomalous Network Traffic,High,true,2026-05-12T14:27:37
INC-000136,2024-02-05T05:15:04,Suspicious Firmware Modification,Low,false,
INC-000137,2026-05-08T12:46:25,Malware Detection,Medium,false,
INC-000138,2024-11-08T06:05:49,Suspicious Firmware Modification,Low,false,
INC-000139,2024-02-28T03:05:35,Unauthorized Access Attempt,Critical,true,2024-03-01T13:05:35
INC-000140,2025-02-05T20:39:12,Unauthorized Access Attempt,Critical,true,2025-02-07T22:39:12
INC-000141,2026-06-10T03:17:01,Suspicious Firmware Modification,Low,false,
INC-000142,2024-10-18T19:54:31,Anomalous Network Traffic,Critical,true,2024-10-21T10:54:31
INC-000143,2024-07-11T23:58:58,Malware Detection,Critical,true,2024-07-13T17:58:58
INC-000144,2025-11-25T18:21:03,Anomalous Network Traffic,Low,false,
INC-000145,2025-06-05T07:12:47,Denial of Service,Low,false,
INC-000146,2025-02-22T10:25:36,Anomalous Network Traffic,Medium,false,
INC-000147,2026-04-27T13:58:45,Anomalous Network Traffic,High,true,2026-04-28T21:58:45
INC-000148,2024-08-05T00:55:10,Denial of Service,Medium,false,
INC-000149,2026-03-23T07:13:02,Configuration Tampering,Low,false,
INC-000150,2024-11-04T02:23:31,Configuration Tampering,Critical,true,2024-11-07T02:23:31
INC-000151,2025-07-21T22:36:15,Malware Detection,Medium,false,
INC-000152,2025-01-25T19:26:54,Suspicious Firmware Modification,Medium,false,
INC-000153,2025-04-01T06:52:40,Denial of Service,Low,false,
INC-000154,2026-05-29T03:35:02,Denial of Service,Medium,false,
INC-000155,2026-05-30T07:40:31,Anomalous Network Traffic,High,true,2026-06-01T02:40:31
INC-000156,2024-02-06T16:53:49,Anomalous Network Traffic,High,true,2024-02-09T03:53:49
INC-000157,2024-04-03T15:10:08,Configuration Tampering,Medium,false,
INC-000158,2026-03-01T02:21:56,Malware Detection,Critical,true,2026-03-02T23:21:56
INC-000159,2025-06-13T12:27:40,Denial of Service,Medium,false,
INC-000160,2025-04-16T07:40:14,Configuration Tampering,Critical,true,2025-04-16T10:40:14
INC-000161,2024-08-28T20:22:02,Unauthorized Access Attempt,Low,false,
INC-000162,2025-02-16T01:16:28,Denial of Service,Low,false,
INC-000163,2025-01-30T01:24:51,Configuration Tampering,Critical,true,2025-02-01T19:24:51
INC-000164,2026-01-26T06:32:51,Unauthorized Access Attempt,Low,false,
INC-000165,2024-03-13T21:04:34,Malware Detection,Medium,false,
INC-000166,2025-08-21T05:13:48,Anomalous Network Traffic,High,true,2025-08-24T01:13:48
INC-000167,2025-06-09T11:15:02,Suspicious Firmware Modification,High,true,2025-06-10T07:15:02
INC-000168,2024-01-27T14:25:26,Denial of Service,High,true,2024-01-29T00:25:26
INC-000169,2024-04-27T10:02:22,Configuration Tampering,Critical,true,2024-04-30T03:02:22
INC-000170,2024-07-19T04:24:40,Denial of Service,High,true,2024-07-19T22:24:40
INC-000171,2024-11-29T09:06:09,Malware Detection,Medium,false,
INC-000172,2024-05-03T06:13:07,Denial of Service,Critical,true,2024-05-04T20:13:07
INC-000173,2025-12-01T06:37:52,Suspicious Firmware Modification,Low,false,
INC-000174,2026-03-22T03:30:57,Unauthorized Access Attempt,Critical,true,2026-03-23T00:30:57
INC-000175,2026-01-11T11:28:30,Configuration Tampering,Low,false,
INC-000176,2024-01-08T17:59:40,Configuration Tampering,Medium,false,
INC-000177,2024-01-09T16:41:55,Denial of Service,High,true,2024-01-12T12:41:55
INC-000178,2024-02-10T20:49:01,Configuration Tampering,Critical,true,2024-02-12T19:49:01
INC-000179,2025-09-11T15:13:38,Suspicious Firmware Modification,Low,false,
INC-000180,2024-12-06T14:34:45,Denial of Service,Low,false,
INC-000181,2025-09-29T17:00:36,Malware Detection,High,true,2025-09-30T13:00:36
INC-000182,2025-06-10T12:55:45,Configuration Tampering,High,true,2025-06-12T01:55:45
INC-000183,2025-03-22T05:18:54,Suspicious Firmware Modification,Critical,true,2025-03-23T20:18:54
INC-000184,2025-10-03T08:16:16,Suspicious Firmware Modification,Low,false,
INC-000185,2026-05-19T10:55:11,Configuration Tampering,High,true,2026-05-20T00:55:11
INC-000186,2026-05-23T17:15:53,Unauthorized Access Attempt,High,true,2026-05-25T08:15:53
INC-000187,2024-06-16T15:29:57,Suspicious Firmware Modification,Low,false,
INC-000188,2025-04-13T12:09:43,Suspicious Firmware Modification,Low,false,
INC-000189,2025-05-02T12:51:08,Malware Detection,High,true,2025-05-03T10:51:08
INC-000190,2025-06-27T10:14:03,Suspicious Firmware Modification,Critical,true,2025-06-29T19:14:03
INC-000191,2024-11-23T19:38:19,Unauthorized Access Attempt,Medium,false,
INC-000192,2024-07-07T03:35:40,Anomalous Network Traffic,Critical,true,2024-07-07T17:35:40
INC-000193,2024-02-20T04:12:35,Malware Detection,High,true,2024-02-22T04:12:35
INC-000194,2026-01-14T20:39:56,Malware Detection,Critical,true,2026-01-15T17:39:56
INC-000195,2025-11-08T13:31:45,Malware Detection,Medium,false,
INC-000196,2025-02-10T20:51:53,Denial of Service,Medium,false,
INC-000197,2025-09-05T15:18:16,Anomalous Network Traffic,Medium,false,
INC-000198,2025-05-24T13:37:03,Suspicious Firmware Modification,Medium,false,
INC-000199,2024-12-07T11:13:15,Suspicious Firmware Modification,Low,false,
INC-000200,2026-01-31T05:59:16,Malware Detection,Medium,false,
INC-000201,2025-04-30T12:20:28,Suspicious Firmware Modification,Low,false,
INC-000202,2025-09-06T19:57:35,Suspicious Firmware Modification,Critical,true,2025-09-08T19:57:35
INC-000203,2024-07-19T16:28:00,Anomalous Network Traffic,Low,false,
INC-000204,2024-03-23T14:12:19,Malware Detection,Critical,true,2024-03-24T21:12:19
INC-000205,2025-08-05T03:57:11,Suspicious Firmware Modification,Medium,false,
INC-000206,2024-05-19T03:00:30,Suspicious Firmware Modification,Medium,false,
INC-000207,2025-06-03T18:16:29,Denial of Service,Critical,true,2025-06-06T16:16:29
INC-000208,2024-04-22T05:09:17,Anomalous Network Traffic,High,true,2024-04-22T07:09:17
INC-000209,2025-12-17T07:23:28,Configuration Tampering,Critical,true,2025-12-18T07:23:28
INC-000210,2026-01-14T22:51:23,Anomalous Network Traffic,Medium,false,
INC-000211,2025-10-10T06:52:13,Unauthorized Access Attempt,Medium,false,
INC-000212,2025-12-13T04:30:29,Unauthorized Access Attempt,Critical,true,2025-12-13T18:30:29
INC-000213,2025-03-31T01:38:13,Configuration Tampering,Critical,true,2025-04-02T20:38:13
INC-000214,2025-01-19T21:37:02,Denial of Service,High,true,2025-01-22T15:37:02
INC-000215,2024-01-20T07:16:31,Denial of Service,Low,false,
INC-000216,2026-06-28T22:44:55,Malware Detection,Low,false,
INC-000217,2025-01-09T16:42:22,Unauthorized Access Attempt,Medium,false,
INC-000218,2025-05-03T10:07:47,Unauthorized Access Attempt,High,true,2025-05-04T01:07:47
INC-000219,2026-01-17T15:48:55,Unauthorized Access Attempt,High,true,2026-01-20T00:48:55
INC-000220,2025-11-22T05:00:46,Suspicious Firmware Modification,Critical,true,2025-11-22T22:00:46
INC-000221,2025-12-22T19:59:26,Denial of Service,Low,false,
INC-000222,2025-04-27T04:29:13,Configuration Tampering,Medium,false,
INC-000223,2024-11-21T00:47:11,Denial of Service,High,true,2024-11-23T04:47:11
INC-000224,2025-12-31T01:49:15,Configuration Tampering,Medium,false,
INC-000225,2025-05-09T13:28:19,Anomalous Network Traffic,High,true,2025-05-10T08:28:19
INC-000226,2025-11-05T17:51:10,Unauthorized Access Attempt,High,true,2025-11-06T10:51:10
INC-000227,2025-09-24T22:28:54,Denial of Service,Medium,false,
INC-000228,2026-06-06T00:41:24,Suspicious Firmware Modification,Low,false,
INC-000229,2024-05-19T02:50:45,Denial of Service,Medium,false,
INC-000230,2025-10-18T17:48:18,Denial of Service,Low,false,
INC-000231,2026-02-02T11:40:59,Malware Detection,Low,false,
INC-000232,2024-02-06T10:52:00,Malware Detection,Critical,true,2024-02-08T18:52:00
INC-000233,2025-07-16T23:35:02,Malware Detection,Low,false,
INC-000234,2024-12-15T00:26:33,Malware Detection,High,true,2024-12-16T01:26:33
INC-000235,2025-07-11T20:57:09,Suspicious Firmware Modification,Low,false,
INC-000236,2024-08-27T00:25:26,Unauthorized Access Attempt,Low,false,
INC-000237,2024-10-07T14:52:11,Suspicious Firmware Modification,Critical,true,2024-10-07T21:52:11
INC-000238,2024-10-18T16:09:57,Anomalous Network Traffic,High,true,2024-10-19T09:09:57
INC-000239,2026-01-25T05:08:27,Denial of Service,Critical,true,2026-01-27T20:08:27
INC-000240,2025-03-07T01:46:32,Configuration Tampering,High,true,2025-03-09T10:46:32
INC-000241,2026-06-23T04:09:17,Suspicious Firmware Modification,High,true,2026-06-25T01:09:17
INC-000242,2024-09-13T06:44:12,Denial of Service,High,true,2024-09-14T22:44:12
INC-000243,2024-09-15T11:52:28,Suspicious Firmware Modification,Critical,true,2024-09-15T21:52:28
INC-000244,2024-04-16T16:50:47,Malware Detection,Critical,true,2024-04-18T12:50:47
INC-000245,2024-04-22T08:33:08,Unauthorized Access Attempt,High,true,2024-04-22T22:33:08
INC-000246,2026-04-02T19:29:55,Unauthorized Access Attempt,High,true,2026-04-05T18:29:55
INC-000247,2024-06-05T17:25:57,Anomalous Network Traffic,Medium,false,
INC-000248,2025-09-18T06:34:56,Unauthorized Access Attempt,Critical,true,2025-09-20T14:34:56
INC-000249,2026-04-13T18:47:56,Malware Detection,Low,false,
INC-000250,2025-02-25T17:22:19,Configuration Tampering,Low,false,
INC-000251,2024-11-29T21:48:10,Malware Detection,Low,false,
INC-000252,2026-06-08T22:13:37,Suspicious Firmware Modification,Medium,false,
INC-000253,2024-06-30T12:38:14,Malware Detection,Critical,true,2024-07-01T05:38:14
INC-000254,2024-10-24T10:39:27,Configuration Tampering,Medium,false,
INC-000255,2025-11-29T04:08:30,Denial of Service,Low,false,
INC-000256,2025-12-23T00:05:54,Suspicious Firmware Modification,Medium,false,
INC-000257,2024-02-12T12:40:07,Unauthorized Access Attempt,Critical,true,2024-02-15T01:40:07
INC-000258,2025-04-12T11:06:19,Anomalous Network Traffic,High,true,2025-04-15T09:06:19
INC-000259,2024-11-29T08:35:36,Configuration Tampering,Critical,true,2024-12-02T08:35:36
INC-000260,2025-08-17T06:49:41,Suspicious Firmware Modification,Critical,true,2025-08-19T13:49:41
INC-000261,2026-01-02T17:08:02,Suspicious Firmware Modification,High,true,2026-01-04T17:08:02
INC-000262,2025-01-21T03:45:23,Malware Detection,High,true,2025-01-22T08:45:23
INC-000263,2026-06-05T11:43:28,Denial of Service,High,true,2026-06-08T06:43:28
INC-000264,2024-09-09T18:54:44,Malware Detection,High,true,2024-09-10T12:54:44
INC-000265,2026-02-11T18:19:20,Unauthorized Access Attempt,Medium,false,
INC-000266,2025-09-28T05:28:17,Unauthorized Access Attempt,Critical,true,2025-09-29T00:28:17
INC-000267,2025-06-08T09:12:20,Malware Detection,Low,false,
INC-000268,2025-12-18T12:59:37,Unauthorized Access Attempt,Low,false,
INC-000269,2024-10-01T01:40:25,Configuration Tampering,Low,false,
INC-000270,2025-02-06T10:18:47,Configuration Tampering,High,true,2025-02-08T10:18:47
INC-000271,2026-03-17T10:55:33,Suspicious Firmware Modification,Medium,false,
INC-000272,2025-06-21T21:59:28,Malware Detection,Low,false,
INC-000273,2024-12-03T09:04:31,Unauthorized Access Attempt,High,true,2024-12-05T03:04:31
INC-000274,2025-12-03T07:30:53,Configuration Tampering,Low,false,
INC-000275,2024-11-09T14:04:30,Anomalous Network Traffic,High,true,2024-11-12T01:04:30
INC-000276,2024-02-03T11:42:32,Denial of Service,Medium,false,
INC-000277,2024-03-06T07:46:59,Suspicious Firmware Modification,Medium,false,
INC-000278,2025-06-24T07:22:18,Anomalous Network Traffic,Medium,false,
INC-000279,2024-03-11T07:45:31,Suspicious Firmware Modification,Critical,true,2024-03-13T03:45:31
INC-000280,2026-01-11T03:24:00,Anomalous Network Traffic,High,true,2026-01-12T12:24:00
INC-000281,2024-08-20T11:52:25,Unauthorized Access Attempt,Critical,true,2024-08-20T23:52:25
INC-000282,2024-07-19T14:00:41,Denial of Service,Medium,false,
INC-000283,2024-03-12T21:54:20,Denial of Service,Critical,true,2024-03-13T20:54:20
INC-000284,2025-09-17T15:57:40,Denial of Service,High,true,2025-09-18T18:57:40
INC-000285,2025-08-09T21:11:58,Denial of Service,Critical,true,2025-08-12T05:11:58
INC-000286,2025-01-20T20:30:27,Configuration Tampering,Critical,true,2025-01-23T05:30:27
INC-000287,2025-09-17T13:01:46,Configuration Tampering,Low,false,
INC-000288,2025-03-09T05:35:36,Suspicious Firmware Modification,Low,false,
INC-000289,2025-09-17T11:57:04,Suspicious Firmware Modification,Critical,true,2025-09-19T06:57:04
INC-000290,2025-11-22T14:28:26,Malware Detection,High,true,2025-11-24T16:28:26
INC-000291,2025-06-16T21:18:38,Denial of Service,High,true,2025-06-19T09:18:38
INC-000292,2025-05-01T14:55:31,Configuration Tampering,Low,false,
INC-000293,2024-08-18T22:03:07,Suspicious Firmware Modification,Critical,true,2024-08-21T18:03:07
INC-000294,2025-03-10T14:35:54,Anomalous Network Traffic,Medium,false,
INC-000295,2025-11-10T07:06:28,Malware Detection,Critical,true,2025-11-11T02:06:28
INC-000296,2024-11-28T00:27:11,Unauthorized Access Attempt,Critical,true,2024-11-30T01:27:11
INC-000297,2025-08-26T13:04:31,Unauthorized Access Attempt,Medium,false,
INC-000298,2024-02-24T23:30:48,Anomalous Network Traffic,Critical,true,2024-02-25T03:30:48
INC-000299,2026-05-10T09:12:57,Configuration Tampering,Low,false,
INC-000300,2024-06-20T15:44:52,Anomalous Network Traffic,Critical,true,2024-06-21T21:44:52
INC-000301,2025-01-24T03:23:09,Unauthorized Access Attempt,High,true,2025-01-24T13:23:09
INC-000302,2024-05-12T14:21:54,Suspicious Firmware Modification,Low,false,
INC-000303,2024-10-14T11:34:57,Suspicious Firmware Modification,Low,false,
INC-000304,2024-04-13T15:23:24,Configuration Tampering,Medium,false,
INC-000305,2025-04-22T07:05:48,Configuration Tampering,Low,false,
INC-000306,2024-04-29T09:25:41,Anomalous Network Traffic,High,true,2024-04-30T22:25:41
INC-000307,2025-07-23T17:18:36,Anomalous Network Traffic,Medium,false,
INC-000308,2025-02-18T23:59:43,Malware Detection,Medium,false,
INC-000309,2024-04-13T10:57:18,Anomalous Network Traffic,Critical,true,2024-04-13T14:57:18
INC-000310,2024-08-20T19:28:55,Suspicious Firmware Modification,High,true,2024-08-21T20:28:55
INC-000311,2024-04-29T03:56:20,Unauthorized Access Attempt,High,true,2024-05-01T04:56:20
INC-000312,2025-05-19T06:49:38,Configuration Tampering,Low,false,
INC-000313,2024-01-19T08:24:58,Denial of Service,Medium,false,
INC-000314,2024-06-01T06:31:59,Unauthorized Access Attempt,Low,false,
INC-000315,2024-05-17T03:25:59,Unauthorized Access Attempt,Critical,true,2024-05-18T20:25:59
INC-000316,2025-03-21T06:35:13,Unauthorized Access Attempt,Critical,true,2025-03-23T10:35:13
INC-000317,2024-06-12T08:42:32,Anomalous Network Traffic,Low,false,
INC-000318,2024-09-04T00:01:51,Suspicious Firmware Modification,Low,false,
INC-000319,2025-01-03T01:06:07,Malware Detection,Medium,false,
INC-000320,2025-12-11T15:21:58,Denial of Service,Medium,false,
INC-000321,2025-04-10T08:43:32,Configuration Tampering,Low,false,
INC-000322,2026-05-27T06:58:20,Denial of Service,Low,false,
INC-000323,2024-12-04T08:12:04,Malware Detection,Medium,false,
INC-000324,2025-12-21T21:37:28,Malware Detection,Medium,false,
INC-000325,2024-08-17T03:13:32,Suspicious Firmware Modification,Medium,false,
INC-000326,2024-09-19T11:33:54,Malware Detection,Critical,true,2024-09-22T05:33:54
INC-000327,2025-12-11T22:21:33,Denial of Service,High,true,2025-12-13T22:21:33
INC-000328,2024-09-15T08:43:42,Denial of Service,Low,false,
INC-000329,2026-01-15T22:50:34,Suspicious Firmware Modification,High,true,2026-01-18T22:50:34
INC-000330,2024-10-11T23:36:45,Unauthorized Access Attempt,High,true,2024-10-14T15:36:45
INC-000331,2024-01-28T13:46:11,Unauthorized Access Attempt,Critical,true,2024-01-29T23:46:11
INC-000332,2024-12-13T03:04:38,Unauthorized Access Attempt,High,true,2024-12-14T18:04:38
INC-000333,2025-12-03T16:22:29,Suspicious Firmware Modification,Medium,false,
INC-000334,2024-11-22T11:55:20,Suspicious Firmware Modification,Low,false,
INC-000335,2024-10-12T14:25:51,Malware Detection,High,true,2024-10-13T01:25:51
INC-000336,2026-06-16T03:34:55,Malware Detection,Low,false,
INC-000337,2025-05-09T21:58:25,Malware Detection,Medium,false,
