documentNumber,documentTitle,documentTypeId,revision,status,cfihosId
DOC-000081,Network Architecture Diagram - Utilities Area 21 - Rev 0,DT-NETARCH,2,Superseded,CFIHOS-00000010
DOC-000082,Calibration Certificate - Utilities Area 21 - Rev B,DT-CALCERT,0,Superseded,CFIHOS-00000010
DOC-000083,Piping Isometric - Utilities Area 21 - Rev A,DT-ISOMETRIC,2,Superseded,CFIHOS-00000010
DOC-000084,Network Architecture Diagram - Utilities Area 21 - Rev 1,DT-NETARCH,B,Issued for Review,CFIHOS-00000010
DOC-000085,Equipment Datasheet - Process Unit 22 - Rev C,DT-DATASHEET,2,Issued for Review,CFIHOS-00000010
DOC-000086,Risk Assessment Report - Process Unit 22 - Rev 1,DT-RISKREPORT,2,Superseded,CFIHOS-00000010
DOC-000087,Risk Assessment Report - Process Unit 22 - Rev C,DT-RISKREPORT,0,Approved for Construction,CFIHOS-00000010
DOC-000088,Network Architecture Diagram - Offsite Pipeline Corridor 23 - Rev C,DT-NETARCH,2,Approved for Construction,CFIHOS-00000010
DOC-000089,Network Architecture Diagram - Offsite Pipeline Corridor 23 - Rev C,DT-NETARCH,1,As-Built,CFIHOS-00000010
DOC-000090,Instrument Loop Diagram - Offsite Pipeline Corridor 23 - Rev 1,DT-LOOPDIAG,2,Superseded,CFIHOS-00000010
DOC-000091,Instrument Loop Diagram - Offsite Pipeline Corridor 23 - Rev A,DT-LOOPDIAG,B,Issued for Review,CFIHOS-00000010
DOC-000092,Network Architecture Diagram - Offsite Pipeline Corridor 23 - Rev 1,DT-NETARCH,A,As-Built,CFIHOS-00000010
DOC-000093,Calibration Certificate - Offsite Pipeline Corridor 24 - Rev 0,DT-CALCERT,A,As-Built,CFIHOS-00000010
DOC-000094,Calibration Certificate - Offsite Pipeline Corridor 24 - Rev 0,DT-CALCERT,C,Issued for Review,CFIHOS-00000010
DOC-000095,Equipment Datasheet - Offsite Pipeline Corridor 24 - Rev A,DT-DATASHEET,2,As-Built,CFIHOS-00000010
DOC-000096,Network Architecture Diagram - Offsite Pipeline Corridor 24 - Rev 1,DT-NETARCH,A,Issued for Review,CFIHOS-00000010
DOC-000097,Risk Assessment Report - Utilities Area 25 - Rev B,DT-RISKREPORT,1,Issued for Review,CFIHOS-00000010
DOC-000098,Single Line Diagram - Utilities Area 25 - Rev A,DT-SLD,B,Approved for Construction,CFIHOS-00000010
DOC-000099,Instrument Loop Diagram - Utilities Area 25 - Rev 2,DT-LOOPDIAG,0,Approved for Construction,CFIHOS-00000010
DOC-000100,Calibration Certificate - Utilities Area 25 - Rev 2,DT-CALCERT,A,Issued for Review,CFIHOS-00000010
DOC-000101,Instrument Loop Diagram - Utilities Area 25 - Rev 2,DT-LOOPDIAG,2,As-Built,CFIHOS-00000010
DOC-000102,Single Line Diagram - Tank Farm 26 - Rev A,DT-SLD,B,As-Built,CFIHOS-00000010
DOC-000103,Risk Assessment Report - Tank Farm 26 - Rev A,DT-RISKREPORT,C,Issued for Review,CFIHOS-00000010
DOC-000104,Instrument Loop Diagram - Tank Farm 26 - Rev 1,DT-LOOPDIAG,A,Approved for Construction,CFIHOS-00000010
DOC-000105,Network Architecture Diagram - Tank Farm 26 - Rev 2,DT-NETARCH,2,Superseded,CFIHOS-00000010
DOC-000106,Network Architecture Diagram - Tank Farm 26 - Rev 0,DT-NETARCH,1,Approved for Construction,CFIHOS-00000010
DOC-000107,Equipment Datasheet - Tank Farm 27 - Rev 0,DT-DATASHEET,0,Issued for Review,CFIHOS-00000010
DOC-000108,Instrument Loop Diagram - Tank Farm 27 - Rev B,DT-LOOPDIAG,0,Approved for Construction,CFIHOS-00000010
DOC-000109,Instrument Loop Diagram - Tank Farm 27 - Rev C,DT-LOOPDIAG,B,As-Built,CFIHOS-00000010
DOC-000110,Single Line Diagram - Tank Farm 27 - Rev C,DT-SLD,1,Issued for Review,CFIHOS-00000010
DOC-000111,Single Line Diagram - Power Generation 28 - Rev 2,DT-SLD,1,Issued for Review,CFIHOS-00000010
DOC-000112,Piping Isometric - Power Generation 28 - Rev 1,DT-ISOMETRIC,1,Approved for Construction,CFIHOS-00000010
DOC-000113,Instrument Loop Diagram - Power Generation 28 - Rev 1,DT-LOOPDIAG,1,As-Built,CFIHOS-00000010
DOC-000114,Calibration Certificate - Power Generation 28 - Rev 1,DT-CALCERT,A,Approved for Construction,CFIHOS-00000010
DOC-000115,Piping Isometric - Utilities Area 29 - Rev 2,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000116,P&ID - Utilities Area 29 - Rev 0,DT-PID,2,Issued for Review,CFIHOS-00000010
DOC-000117,Risk Assessment Report - Utilities Area 29 - Rev B,DT-RISKREPORT,2,Superseded,CFIHOS-00000010
DOC-000118,Equipment Datasheet - Offsite Pipeline Corridor 30 - Rev 2,DT-DATASHEET,A,As-Built,CFIHOS-00000010
DOC-000119,Network Architecture Diagram - Offsite Pipeline Corridor 30 - Rev 0,DT-NETARCH,0,As-Built,CFIHOS-00000010
DOC-000120,Instrument Loop Diagram - Offsite Pipeline Corridor 30 - Rev C,DT-LOOPDIAG,2,Issued for Review,CFIHOS-00000010
DOC-000121,Network Architecture Diagram - Offsite Pipeline Corridor 30 - Rev B,DT-NETARCH,C,Approved for Construction,CFIHOS-00000010
DOC-000122,Risk Assessment Report - Tank Farm 31 - Rev A,DT-RISKREPORT,C,Superseded,CFIHOS-00000010
DOC-000123,Instrument Loop Diagram - Tank Farm 31 - Rev A,DT-LOOPDIAG,A,Issued for Review,CFIHOS-00000010
DOC-000124,Network Architecture Diagram - Tank Farm 31 - Rev B,DT-NETARCH,B,Issued for Review,CFIHOS-00000010
DOC-000125,Calibration Certificate - Utilities Area 32 - Rev B,DT-CALCERT,B,Superseded,CFIHOS-00000010
DOC-000126,Risk Assessment Report - Utilities Area 32 - Rev 0,DT-RISKREPORT,C,Superseded,CFIHOS-00000010
DOC-000127,Equipment Datasheet - Utilities Area 32 - Rev 0,DT-DATASHEET,1,Superseded,CFIHOS-00000010
DOC-000128,Single Line Diagram - Utilities Area 32 - Rev 1,DT-SLD,C,Approved for Construction,CFIHOS-00000010
DOC-000129,Piping Isometric - Utilities Area 32 - Rev 0,DT-ISOMETRIC,1,Superseded,CFIHOS-00000010
DOC-000130,P&ID - Process Unit 33 - Rev A,DT-PID,0,As-Built,CFIHOS-00000010
DOC-000131,Calibration Certificate - Process Unit 33 - Rev 0,DT-CALCERT,C,Approved for Construction,CFIHOS-00000010
DOC-000132,P&ID - Process Unit 33 - Rev 1,DT-PID,1,As-Built,CFIHOS-00000010
DOC-000133,Piping Isometric - Process Unit 33 - Rev A,DT-ISOMETRIC,0,Superseded,CFIHOS-00000010
DOC-000134,Piping Isometric - Process Unit 33 - Rev 1,DT-ISOMETRIC,2,Approved for Construction,CFIHOS-00000010
DOC-000135,Network Architecture Diagram - Process Unit 34 - Rev C,DT-NETARCH,C,Issued for Review,CFIHOS-00000010
DOC-000136,Single Line Diagram - Process Unit 34 - Rev 1,DT-SLD,1,Superseded,CFIHOS-00000010
DOC-000137,P&ID - Process Unit 34 - Rev A,DT-PID,A,As-Built,CFIHOS-00000010
DOC-000138,Risk Assessment Report - Offsite Pipeline Corridor 35 - Rev B,DT-RISKREPORT,1,As-Built,CFIHOS-00000010
DOC-000139,Calibration Certificate - Offsite Pipeline Corridor 35 - Rev B,DT-CALCERT,0,Issued for Review,CFIHOS-00000010
DOC-000140,Calibration Certificate - Offsite Pipeline Corridor 35 - Rev 1,DT-CALCERT,1,Superseded,CFIHOS-00000010
DOC-000141,Piping Isometric - Offsite Pipeline Corridor 35 - Rev 0,DT-ISOMETRIC,A,Issued for Review,CFIHOS-00000010
DOC-000142,Equipment Datasheet - Process Unit 36 - Rev 0,DT-DATASHEET,1,Issued for Review,CFIHOS-00000010
DOC-000143,Risk Assessment Report - Process Unit 36 - Rev C,DT-RISKREPORT,2,As-Built,CFIHOS-00000010
DOC-000144,Risk Assessment Report - Process Unit 36 - Rev B,DT-RISKREPORT,1,Superseded,CFIHOS-00000010
DOC-000145,Single Line Diagram - Process Unit 36 - Rev A,DT-SLD,1,Approved for Construction,CFIHOS-00000010
DOC-000146,P&ID - Process Unit 36 - Rev 0,DT-PID,C,Superseded,CFIHOS-00000010
DOC-000147,Single Line Diagram - Power Generation 37 - Rev 0,DT-SLD,1,Superseded,CFIHOS-00000010
DOC-000148,Instrument Loop Diagram - Power Generation 37 - Rev 1,DT-LOOPDIAG,B,Issued for Review,CFIHOS-00000010
DOC-000149,Network Architecture Diagram - Power Generation 37 - Rev C,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000150,Calibration Certificate - Power Generation 37 - Rev 1,DT-CALCERT,C,Issued for Review,CFIHOS-00000010
DOC-000151,Single Line Diagram - Utilities Area 38 - Rev B,DT-SLD,C,Issued for Review,CFIHOS-00000010
DOC-000152,Piping Isometric - Utilities Area 38 - Rev C,DT-ISOMETRIC,2,As-Built,CFIHOS-00000010
DOC-000153,Calibration Certificate - Utilities Area 38 - Rev 0,DT-CALCERT,C,Issued for Review,CFIHOS-00000010
DOC-000154,Equipment Datasheet - Utilities Area 38 - Rev 1,DT-DATASHEET,2,Superseded,CFIHOS-00000010
DOC-000155,Instrument Loop Diagram - Offsite Pipeline Corridor 39 - Rev C,DT-LOOPDIAG,A,Issued for Review,CFIHOS-00000010
DOC-000156,Calibration Certificate - Offsite Pipeline Corridor 39 - Rev 0,DT-CALCERT,2,Issued for Review,CFIHOS-00000010
DOC-000157,Single Line Diagram - Offsite Pipeline Corridor 39 - Rev B,DT-SLD,1,Issued for Review,CFIHOS-00000010
DOC-000158,Piping Isometric - Offsite Pipeline Corridor 39 - Rev B,DT-ISOMETRIC,A,As-Built,CFIHOS-00000010
DOC-000159,Single Line Diagram - Tank Farm 40 - Rev 2,DT-SLD,B,Approved for Construction,CFIHOS-00000010
DOC-000160,Network Architecture Diagram - Tank Farm 40 - Rev C,DT-NETARCH,2,Superseded,CFIHOS-00000010
DOC-000161,Instrument Loop Diagram - Tank Farm 40 - Rev A,DT-LOOPDIAG,1,As-Built,CFIHOS-00000010
DOC-000162,Risk Assessment Report - Utilities Area 41 - Rev 0,DT-RISKREPORT,2,As-Built,CFIHOS-00000010
DOC-000163,Calibration Certificate - Utilities Area 41 - Rev C,DT-CALCERT,2,Approved for Construction,CFIHOS-00000010
DOC-000164,Single Line Diagram - Utilities Area 41 - Rev 1,DT-SLD,2,Approved for Construction,CFIHOS-00000010
DOC-000165,Network Architecture Diagram - Utilities Area 41 - Rev B,DT-NETARCH,A,Superseded,CFIHOS-00000010
DOC-000166,Instrument Loop Diagram - Utilities Area 41 - Rev 2,DT-LOOPDIAG,C,Approved for Construction,CFIHOS-00000010
DOC-000167,Equipment Datasheet - Power Generation 42 - Rev C,DT-DATASHEET,C,Superseded,CFIHOS-00000010
DOC-000168,Risk Assessment Report - Power Generation 42 - Rev B,DT-RISKREPORT,1,Superseded,CFIHOS-00000010
DOC-000169,Single Line Diagram - Power Generation 42 - Rev A,DT-SLD,C,As-Built,CFIHOS-00000010
DOC-000170,Piping Isometric - Power Generation 42 - Rev 2,DT-ISOMETRIC,B,Approved for Construction,CFIHOS-00000010
DOC-000171,Single Line Diagram - Power Generation 43 - Rev B,DT-SLD,1,Superseded,CFIHOS-00000010
DOC-000172,Calibration Certificate - Power Generation 43 - Rev A,DT-CALCERT,0,Approved for Construction,CFIHOS-00000010
DOC-000173,Instrument Loop Diagram - Power Generation 43 - Rev 0,DT-LOOPDIAG,C,As-Built,CFIHOS-00000010
DOC-000174,Piping Isometric - Power Generation 43 - Rev 0,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000175,Piping Isometric - Power Generation 44 - Rev 1,DT-ISOMETRIC,2,Approved for Construction,CFIHOS-00000010
DOC-000176,Calibration Certificate - Power Generation 44 - Rev 2,DT-CALCERT,B,Approved for Construction,CFIHOS-00000010
DOC-000177,Risk Assessment Report - Power Generation 44 - Rev C,DT-RISKREPORT,B,Superseded,CFIHOS-00000010
DOC-000178,Piping Isometric - Power Generation 44 - Rev 2,DT-ISOMETRIC,A,Issued for Review,CFIHOS-00000010
DOC-000179,Single Line Diagram - Tank Farm 45 - Rev B,DT-SLD,B,Superseded,CFIHOS-00000010
DOC-000180,Risk Assessment Report - Tank Farm 45 - Rev 2,DT-RISKREPORT,1,Issued for Review,CFIHOS-00000010
DOC-000181,Risk Assessment Report - Tank Farm 45 - Rev 1,DT-RISKREPORT,2,As-Built,CFIHOS-00000010
DOC-000182,Equipment Datasheet - Tank Farm 45 - Rev 1,DT-DATASHEET,0,Issued for Review,CFIHOS-00000010
DOC-000183,Equipment Datasheet - Tank Farm 45 - Rev A,DT-DATASHEET,1,As-Built,CFIHOS-00000010
DOC-000184,Instrument Loop Diagram - Utilities Area 46 - Rev B,DT-LOOPDIAG,C,Superseded,CFIHOS-00000010
DOC-000185,Single Line Diagram - Utilities Area 46 - Rev 2,DT-SLD,1,Superseded,CFIHOS-00000010
DOC-000186,Risk Assessment Report - Utilities Area 46 - Rev A,DT-RISKREPORT,0,As-Built,CFIHOS-00000010
DOC-000187,Network Architecture Diagram - Utilities Area 46 - Rev 0,DT-NETARCH,1,Approved for Construction,CFIHOS-00000010
DOC-000188,Risk Assessment Report - Utilities Area 46 - Rev 2,DT-RISKREPORT,C,Approved for Construction,CFIHOS-00000010
DOC-000189,P&ID - Offsite Pipeline Corridor 47 - Rev 2,DT-PID,B,Approved for Construction,CFIHOS-00000010
DOC-000190,Network Architecture Diagram - Offsite Pipeline Corridor 47 - Rev C,DT-NETARCH,2,Approved for Construction,CFIHOS-00000010
DOC-000191,P&ID - Offsite Pipeline Corridor 47 - Rev A,DT-PID,0,Approved for Construction,CFIHOS-00000010
DOC-000192,Network Architecture Diagram - Offsite Pipeline Corridor 47 - Rev B,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000193,Risk Assessment Report - Process Unit 48 - Rev 0,DT-RISKREPORT,0,Approved for Construction,CFIHOS-00000010
DOC-000194,Instrument Loop Diagram - Process Unit 48 - Rev 2,DT-LOOPDIAG,C,Approved for Construction,CFIHOS-00000010
DOC-000195,Network Architecture Diagram - Process Unit 48 - Rev 1,DT-NETARCH,B,As-Built,CFIHOS-00000010
DOC-000196,P&ID - Process Unit 48 - Rev C,DT-PID,0,Superseded,CFIHOS-00000010
DOC-000197,Single Line Diagram - Utilities Area 49 - Rev B,DT-SLD,0,Issued for Review,CFIHOS-00000010
DOC-000198,Piping Isometric - Utilities Area 49 - Rev B,DT-ISOMETRIC,2,Approved for Construction,CFIHOS-00000010
DOC-000199,Network Architecture Diagram - Utilities Area 49 - Rev 1,DT-NETARCH,A,As-Built,CFIHOS-00000010
DOC-000200,Equipment Datasheet - Utilities Area 49 - Rev A,DT-DATASHEET,1,Approved for Construction,CFIHOS-00000010
DOC-000201,P&ID - Power Generation 50 - Rev B,DT-PID,2,Approved for Construction,CFIHOS-00000010
DOC-000202,Risk Assessment Report - Power Generation 50 - Rev B,DT-RISKREPORT,1,As-Built,CFIHOS-00000010
DOC-000203,Instrument Loop Diagram - Power Generation 50 - Rev 1,DT-LOOPDIAG,C,As-Built,CFIHOS-00000010
DOC-000204,Calibration Certificate - Power Generation 50 - Rev 1,DT-CALCERT,1,Issued for Review,CFIHOS-00000010
DOC-000205,Piping Isometric - Power Generation 50 - Rev B,DT-ISOMETRIC,2,As-Built,CFIHOS-00000010
DOC-000206,Piping Isometric - Offsite Pipeline Corridor 51 - Rev A,DT-ISOMETRIC,1,As-Built,CFIHOS-00000010
DOC-000207,Risk Assessment Report - Offsite Pipeline Corridor 51 - Rev A,DT-RISKREPORT,C,Superseded,CFIHOS-00000010
DOC-000208,Calibration Certificate - Offsite Pipeline Corridor 51 - Rev 2,DT-CALCERT,0,Superseded,CFIHOS-00000010
DOC-000209,Piping Isometric - Offsite Pipeline Corridor 51 - Rev 0,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000210,Piping Isometric - Power Generation 52 - Rev 2,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000211,Network Architecture Diagram - Power Generation 52 - Rev 0,DT-NETARCH,1,As-Built,CFIHOS-00000010
DOC-000212,Single Line Diagram - Power Generation 52 - Rev C,DT-SLD,B,Issued for Review,CFIHOS-00000010
DOC-000213,Calibration Certificate - Power Generation 53 - Rev A,DT-CALCERT,1,As-Built,CFIHOS-00000010
DOC-000214,Piping Isometric - Power Generation 53 - Rev 0,DT-ISOMETRIC,2,Approved for Construction,CFIHOS-00000010
DOC-000215,Single Line Diagram - Power Generation 53 - Rev 1,DT-SLD,2,As-Built,CFIHOS-00000010
DOC-000216,Single Line Diagram - Power Generation 53 - Rev C,DT-SLD,C,Approved for Construction,CFIHOS-00000010
DOC-000217,Equipment Datasheet - Process Unit 54 - Rev 2,DT-DATASHEET,0,As-Built,CFIHOS-00000010
DOC-000218,Single Line Diagram - Process Unit 54 - Rev 0,DT-SLD,B,Issued for Review,CFIHOS-00000010
DOC-000219,Network Architecture Diagram - Process Unit 54 - Rev 0,DT-NETARCH,1,Issued for Review,CFIHOS-00000010
DOC-000220,Calibration Certificate - Power Generation 55 - Rev 1,DT-CALCERT,0,Superseded,CFIHOS-00000010
DOC-000221,Risk Assessment Report - Power Generation 55 - Rev C,DT-RISKREPORT,B,Issued for Review,CFIHOS-00000010
DOC-000222,Network Architecture Diagram - Power Generation 55 - Rev A,DT-NETARCH,1,As-Built,CFIHOS-00000010
DOC-000223,P&ID - Power Generation 55 - Rev C,DT-PID,1,Superseded,CFIHOS-00000010
DOC-000224,Single Line Diagram - Tank Farm 56 - Rev C,DT-SLD,B,Superseded,CFIHOS-00000010
DOC-000225,Single Line Diagram - Tank Farm 56 - Rev 0,DT-SLD,1,Issued for Review,CFIHOS-00000010
DOC-000226,Risk Assessment Report - Tank Farm 56 - Rev 2,DT-RISKREPORT,2,Superseded,CFIHOS-00000010
DOC-000227,Calibration Certificate - Tank Farm 57 - Rev B,DT-CALCERT,B,Superseded,CFIHOS-00000010
DOC-000228,P&ID - Tank Farm 57 - Rev 1,DT-PID,A,Approved for Construction,CFIHOS-00000010
