itemId,name,failureModeClass,cfihosId
MI-000079,LT-4654 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000080,K-3062 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000081,K-16952 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000082,XV-5565 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000083,LT-12751 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000084,FCV-21844 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000085,V-15810 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000086,FCV-2843 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000087,XV-20552 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000088,FT-28206 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000089,FT-10290 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000090,P-26760 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000091,LT-20575 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000092,TT-22831 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000093,PSV-10997 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000094,FT-30953 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000095,XV-23916 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000096,LT-5950 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000097,LT-30985 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000098,P-733 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000099,TT-1824 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000100,E-30958 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000101,FT-1309 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000102,TT-20319 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000103,P-22677 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000104,PSV-14316 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000105,PT-10274 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000106,FT-3080 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000107,E-35192 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000108,XV-26077 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000109,PT-3654 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000110,P-796 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000111,K-22565 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000112,E-34532 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000113,FCV-19469 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000114,P-20668 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000115,TT-23939 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000116,K-29928 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000117,XV-35174 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000118,V-9769 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000119,COL-5618 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000120,V-19107 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000121,P-21861 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000122,K-36644 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000123,TT-25139 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000124,K-34526 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000125,TT-13448 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000126,COL-16614 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000127,PT-25251 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000128,COL-19896 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000129,FT-39821 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000130,K-36285 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000131,K-32797 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000132,K-10541 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000133,K-10691 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000134,P-17074 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000135,COL-30839 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000136,V-37733 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000137,E-4678 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000138,V-7327 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000139,XV-17488 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000140,P-2180 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000141,XV-3036 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000142,FT-18371 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000143,COL-4199 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000144,K-3743 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000145,FCV-27677 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000146,P-30686 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000147,XV-16253 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000148,V-18591 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000149,XV-2446 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000150,PT-30730 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000151,COL-2526 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000152,LT-29623 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000153,COL-15503 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000154,V-2618 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000155,LT-16935 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000156,E-16067 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000157,FT-4561 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000158,V-25265 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000159,LT-3191 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000160,PT-35336 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000161,TT-6946 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000162,LT-11805 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000163,LT-26458 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000164,FCV-15357 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000165,FT-10661 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000166,COL-6494 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000167,LT-2205 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000168,COL-5927 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000169,K-12110 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000170,FCV-26355 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000171,LT-30372 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000172,E-15984 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000173,FCV-4032 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000174,PT-6229 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000175,PT-10077 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000176,FT-35790 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000177,E-38574 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000178,E-24442 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000179,FCV-15451 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000180,TT-19693 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000181,COL-15297 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000182,LT-33529 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000183,E-36835 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000184,XV-40000 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000185,FT-17995 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000186,P-1630 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000187,XV-31766 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000188,E-25221 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000189,FT-34043 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000190,PT-2106 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000191,K-7241 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000192,PT-26071 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000193,XV-5267 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000194,FT-34659 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000195,P-9772 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000196,COL-11157 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000197,P-37567 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000198,P-19139 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000199,K-30717 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000200,PT-14958 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000201,XV-15271 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000202,K-13506 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000203,P-26212 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000204,P-16560 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000205,P-36551 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000206,K-11986 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000207,PSV-1380 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000208,K-20099 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000209,P-14804 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000210,LT-6252 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000211,V-27351 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000212,XV-4621 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000213,V-9990 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000214,K-35526 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000215,V-5761 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000216,TT-23856 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000217,P-29573 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000218,COL-10973 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000219,PT-33095 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000220,PT-898 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000221,FCV-19536 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000222,LT-26589 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000223,V-15803 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000224,PSV-32736 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000225,FCV-6163 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000226,XV-35988 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000227,V-29163 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000228,P-19866 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000229,PT-34651 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000230,V-17916 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000231,FT-21013 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000232,TT-26044 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000233,V-32211 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000234,FT-28964 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000235,PT-39500 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000236,PT-34578 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000237,PT-23920 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000238,TT-26138 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000239,COL-9901 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000240,FT-29527 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000241,XV-2406 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000242,LT-36293 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000243,TT-36416 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000244,COL-25108 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000245,E-11148 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000246,FT-22854 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000247,V-24044 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000248,PSV-28988 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000249,P-3841 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000250,PT-37377 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000251,V-6914 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000252,FT-12657 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000253,COL-38963 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000254,XV-24519 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000255,XV-22136 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000256,P-14036 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000257,FT-1386 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000258,PSV-7382 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000259,XV-8285 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000260,FCV-36721 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000261,PSV-22998 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000262,FT-7728 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000263,LT-15589 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000264,PT-18226 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000265,FCV-10488 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000266,COL-29002 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000267,P-31452 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000268,LT-17450 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000269,FT-12121 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000270,PT-24944 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000271,K-22812 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000272,XV-35563 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000273,P-11228 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000274,P-11660 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000275,P-16324 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000276,XV-17224 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000277,COL-2600 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000278,LT-35722 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000279,P-21040 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000280,V-10170 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000281,FCV-15785 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000282,FCV-27774 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000283,P-34623 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000284,P-28740 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000285,FT-27253 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000286,LT-33888 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000287,V-13429 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000288,FCV-32454 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000289,XV-13988 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000290,COL-20075 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000291,P-26351 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000292,TT-11801 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000293,V-15128 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000294,PT-36020 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000295,K-33392 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000296,FCV-11856 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000297,TT-14549 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000298,P-31902 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000299,P-9996 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000300,P-35772 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000301,FCV-33184 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000302,V-19224 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000303,LT-33910 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000304,K-32666 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000305,PSV-27593 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000306,FT-13963 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000307,V-16532 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000308,PT-27127 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000309,FT-19113 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000310,PSV-15771 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000311,TT-9159 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000312,XV-29375 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000313,E-6883 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000314,LT-159 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000315,FT-29186 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000316,PSV-37479 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000317,P-11727 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000318,P-26690 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000319,TT-35093 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000320,XV-448 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000321,FCV-24528 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000322,P-34122 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000323,FT-12756 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000324,FT-28059 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000325,P-31754 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000326,P-7494 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000327,TT-35276 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000328,FCV-28351 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
