tpvId,tagNumber,propertyId,value,unitOfMeasureId,cfihosId
TPV-0000124,TT-42,PROP-013,42.8,UOM-BARG,CFIHOS-00000030
TPV-0000125,TT-42,PROP-011,1949.3,UOM-KG,CFIHOS-00000030
TPV-0000126,K-43,PROP-003,79.2,UOM-BARG,CFIHOS-00000030
TPV-0000127,K-43,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0000128,V-44,PROP-013,56.8,UOM-BARG,CFIHOS-00000030
TPV-0000129,V-44,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0000130,V-44,PROP-002,56.5,UOM-DEGC,CFIHOS-00000030
TPV-0000131,V-44,PROP-003,145.0,UOM-BARG,CFIHOS-00000030
TPV-0000132,E-45,PROP-001,44.9,UOM-BARG,CFIHOS-00000030
TPV-0000133,E-45,PROP-013,30.2,UOM-BARG,CFIHOS-00000030
TPV-0000134,PT-46,PROP-002,76.9,UOM-DEGC,CFIHOS-00000030
TPV-0000135,PT-46,PROP-008,300,UOM-MM,CFIHOS-00000030
TPV-0000136,PT-46,PROP-004,383.5,UOM-DEGC,CFIHOS-00000030
TPV-0000137,K-47,PROP-013,87.2,UOM-BARG,CFIHOS-00000030
TPV-0000138,K-47,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000139,K-47,PROP-001,24.3,UOM-BARG,CFIHOS-00000030
TPV-0000140,K-47,PROP-010,None,,CFIHOS-00000030
TPV-0000141,FT-48,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0000142,FT-48,PROP-009,600#,,CFIHOS-00000030
TPV-0000143,FT-48,PROP-003,56.8,UOM-BARG,CFIHOS-00000030
TPV-0000144,FT-48,PROP-011,8072.8,UOM-KG,CFIHOS-00000030
TPV-0000145,COL-49,PROP-011,7849.9,UOM-KG,CFIHOS-00000030
TPV-0000146,COL-49,PROP-003,62.4,UOM-BARG,CFIHOS-00000030
TPV-0000147,COL-49,PROP-001,74.1,UOM-BARG,CFIHOS-00000030
TPV-0000148,COL-49,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0000149,PT-50,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0000150,PT-50,PROP-004,146.1,UOM-DEGC,CFIHOS-00000030
TPV-0000151,K-51,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000152,K-51,PROP-001,114.1,UOM-BARG,CFIHOS-00000030
TPV-0000153,TT-52,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000154,TT-52,PROP-011,10925.1,UOM-KG,CFIHOS-00000030
TPV-0000155,TT-52,PROP-001,6.3,UOM-BARG,CFIHOS-00000030
TPV-0000156,PT-53,PROP-005,1878.9,UOM-M3H,CFIHOS-00000030
TPV-0000157,PT-53,PROP-013,20.0,UOM-BARG,CFIHOS-00000030
TPV-0000158,PT-53,PROP-001,5.2,UOM-BARG,CFIHOS-00000030
TPV-0000159,PT-53,PROP-011,1872.1,UOM-KG,CFIHOS-00000030
TPV-0000160,TT-54,PROP-008,200,UOM-MM,CFIHOS-00000030
TPV-0000161,TT-54,PROP-003,110.0,UOM-BARG,CFIHOS-00000030
TPV-0000162,FCV-55,PROP-013,3.7,UOM-BARG,CFIHOS-00000030
TPV-0000163,FCV-55,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000164,FCV-55,PROP-006,396.0,UOM-KW,CFIHOS-00000030
TPV-0000165,FCV-55,PROP-005,293.4,UOM-M3H,CFIHOS-00000030
TPV-0000166,P-56,PROP-005,1044.2,UOM-M3H,CFIHOS-00000030
TPV-0000167,P-56,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0000168,P-56,PROP-006,2016.4,UOM-KW,CFIHOS-00000030
TPV-0000169,P-56,PROP-001,102.7,UOM-BARG,CFIHOS-00000030
TPV-0000170,K-57,PROP-005,2435.9,UOM-M3H,CFIHOS-00000030
TPV-0000171,K-57,PROP-011,9752.2,UOM-KG,CFIHOS-00000030
TPV-0000172,XV-58,PROP-004,187.0,UOM-DEGC,CFIHOS-00000030
TPV-0000173,XV-58,PROP-003,45.7,UOM-BARG,CFIHOS-00000030
TPV-0000174,LT-59,PROP-002,89.6,UOM-DEGC,CFIHOS-00000030
TPV-0000175,LT-59,PROP-013,61.1,UOM-BARG,CFIHOS-00000030
TPV-0000176,LT-59,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0000177,LT-59,PROP-010,None,,CFIHOS-00000030
TPV-0000178,XV-60,PROP-011,3120.2,UOM-KG,CFIHOS-00000030
TPV-0000179,XV-60,PROP-001,121.2,UOM-BARG,CFIHOS-00000030
TPV-0000180,PT-61,PROP-012,67.8,UOM-BARG,CFIHOS-00000030
TPV-0000181,PT-61,PROP-006,2560.9,UOM-KW,CFIHOS-00000030
TPV-0000182,PT-61,PROP-004,446.3,UOM-DEGC,CFIHOS-00000030
TPV-0000183,PT-61,PROP-002,212.9,UOM-DEGC,CFIHOS-00000030
TPV-0000184,V-62,PROP-001,93.8,UOM-BARG,CFIHOS-00000030
TPV-0000185,V-62,PROP-011,3084.5,UOM-KG,CFIHOS-00000030
TPV-0000186,XV-63,PROP-001,39.6,UOM-BARG,CFIHOS-00000030
TPV-0000187,XV-63,PROP-006,539.1,UOM-KW,CFIHOS-00000030
TPV-0000188,P-64,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000189,P-64,PROP-005,1476.2,UOM-M3H,CFIHOS-00000030
TPV-0000190,P-64,PROP-009,300#,,CFIHOS-00000030
TPV-0000191,P-64,PROP-006,2263.4,UOM-KW,CFIHOS-00000030
TPV-0000192,PT-65,PROP-011,11061.2,UOM-KG,CFIHOS-00000030
TPV-0000193,PT-65,PROP-005,514.4,UOM-M3H,CFIHOS-00000030
TPV-0000194,PT-65,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0000195,E-66,PROP-006,2471.4,UOM-KW,CFIHOS-00000030
TPV-0000196,E-66,PROP-005,877.8,UOM-M3H,CFIHOS-00000030
TPV-0000197,E-66,PROP-010,None,,CFIHOS-00000030
TPV-0000198,E-66,PROP-012,44.3,UOM-BARG,CFIHOS-00000030
TPV-0000199,COL-67,PROP-004,157.4,UOM-DEGC,CFIHOS-00000030
TPV-0000200,COL-67,PROP-005,1333.7,UOM-M3H,CFIHOS-00000030
TPV-0000201,COL-67,PROP-010,None,,CFIHOS-00000030
TPV-0000202,V-68,PROP-012,22.4,UOM-BARG,CFIHOS-00000030
TPV-0000203,V-68,PROP-003,87.5,UOM-BARG,CFIHOS-00000030
TPV-0000204,V-68,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000205,FT-69,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000206,FT-69,PROP-012,42.5,UOM-BARG,CFIHOS-00000030
TPV-0000207,FT-69,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000208,PT-70,PROP-005,347.4,UOM-M3H,CFIHOS-00000030
TPV-0000209,PT-70,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000210,PT-70,PROP-013,18.0,UOM-BARG,CFIHOS-00000030
TPV-0000211,TT-71,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0000212,TT-71,PROP-011,7701.2,UOM-KG,CFIHOS-00000030
TPV-0000213,LT-72,PROP-011,5429.2,UOM-KG,CFIHOS-00000030
TPV-0000214,LT-72,PROP-001,94.3,UOM-BARG,CFIHOS-00000030
TPV-0000215,LT-72,PROP-008,200,UOM-MM,CFIHOS-00000030
TPV-0000216,LT-72,PROP-003,26.6,UOM-BARG,CFIHOS-00000030
TPV-0000217,PSV-73,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0000218,PSV-73,PROP-004,379.9,UOM-DEGC,CFIHOS-00000030
TPV-0000219,TT-74,PROP-003,150.0,UOM-BARG,CFIHOS-00000030
TPV-0000220,TT-74,PROP-001,19.1,UOM-BARG,CFIHOS-00000030
TPV-0000221,TT-74,PROP-004,312.4,UOM-DEGC,CFIHOS-00000030
TPV-0000222,FT-75,PROP-011,9178.5,UOM-KG,CFIHOS-00000030
TPV-0000223,FT-75,PROP-012,46.6,UOM-BARG,CFIHOS-00000030
TPV-0000224,PSV-76,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0000225,PSV-76,PROP-006,798.6,UOM-KW,CFIHOS-00000030
TPV-0000226,PSV-76,PROP-012,0.8,UOM-BARG,CFIHOS-00000030
TPV-0000227,PSV-76,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0000228,FT-77,PROP-004,90.8,UOM-DEGC,CFIHOS-00000030
TPV-0000229,FT-77,PROP-005,310.2,UOM-M3H,CFIHOS-00000030
TPV-0000230,XV-78,PROP-004,224.4,UOM-DEGC,CFIHOS-00000030
TPV-0000231,XV-78,PROP-001,23.0,UOM-BARG,CFIHOS-00000030
TPV-0000232,XV-78,PROP-003,31.9,UOM-BARG,CFIHOS-00000030
TPV-0000233,XV-78,PROP-012,38.2,UOM-BARG,CFIHOS-00000030
TPV-0000234,FT-79,PROP-005,138.6,UOM-M3H,CFIHOS-00000030
TPV-0000235,FT-79,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000236,PSV-80,PROP-009,900#,,CFIHOS-00000030
TPV-0000237,PSV-80,PROP-011,9438.3,UOM-KG,CFIHOS-00000030
TPV-0000238,PSV-80,PROP-004,140.3,UOM-DEGC,CFIHOS-00000030
TPV-0000239,TT-81,PROP-011,6788.8,UOM-KG,CFIHOS-00000030
TPV-0000240,TT-81,PROP-005,1667.5,UOM-M3H,CFIHOS-00000030
TPV-0000241,TT-81,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000242,TT-81,PROP-004,180.1,UOM-DEGC,CFIHOS-00000030
TPV-0000243,FT-82,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0000244,FT-82,PROP-005,2494.2,UOM-M3H,CFIHOS-00000030
TPV-0000245,FT-83,PROP-011,11143.1,UOM-KG,CFIHOS-00000030
TPV-0000246,FT-83,PROP-004,84.4,UOM-DEGC,CFIHOS-00000030
TPV-0000247,FT-83,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0000248,LT-84,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000249,LT-84,PROP-001,10.0,UOM-BARG,CFIHOS-00000030
TPV-0000250,LT-84,PROP-011,10954.2,UOM-KG,CFIHOS-00000030
TPV-0000251,FT-85,PROP-012,51.8,UOM-BARG,CFIHOS-00000030
TPV-0000252,FT-85,PROP-004,286.1,UOM-DEGC,CFIHOS-00000030
TPV-0000253,V-86,PROP-011,9912.8,UOM-KG,CFIHOS-00000030
TPV-0000254,V-86,PROP-004,371.8,UOM-DEGC,CFIHOS-00000030
TPV-0000255,E-87,PROP-012,55.9,UOM-BARG,CFIHOS-00000030
TPV-0000256,E-87,PROP-001,19.4,UOM-BARG,CFIHOS-00000030
TPV-0000257,E-88,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000258,E-88,PROP-010,None,,CFIHOS-00000030
TPV-0000259,PT-89,PROP-009,300#,,CFIHOS-00000030
TPV-0000260,PT-89,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0000261,PT-89,PROP-005,1459.6,UOM-M3H,CFIHOS-00000030
TPV-0000262,XV-90,PROP-010,None,,CFIHOS-00000030
TPV-0000263,XV-90,PROP-011,1319.3,UOM-KG,CFIHOS-00000030
TPV-0000264,COL-91,PROP-012,39.2,UOM-BARG,CFIHOS-00000030
TPV-0000265,COL-91,PROP-011,9882.3,UOM-KG,CFIHOS-00000030
TPV-0000266,COL-92,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0000267,COL-92,PROP-004,19.8,UOM-DEGC,CFIHOS-00000030
TPV-0000268,K-93,PROP-012,95.7,UOM-BARG,CFIHOS-00000030
TPV-0000269,K-93,PROP-002,200.5,UOM-DEGC,CFIHOS-00000030
TPV-0000270,FCV-94,PROP-008,300,UOM-MM,CFIHOS-00000030
TPV-0000271,FCV-94,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000272,FCV-94,PROP-013,8.0,UOM-BARG,CFIHOS-00000030
TPV-0000273,V-95,PROP-005,617.0,UOM-M3H,CFIHOS-00000030
TPV-0000274,V-95,PROP-001,76.3,UOM-BARG,CFIHOS-00000030
TPV-0000275,V-95,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000276,V-95,PROP-002,428.9,UOM-DEGC,CFIHOS-00000030
TPV-0000277,P-96,PROP-002,175.2,UOM-DEGC,CFIHOS-00000030
TPV-0000278,P-96,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0000279,P-96,PROP-013,29.9,UOM-BARG,CFIHOS-00000030
TPV-0000280,FT-97,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000281,FT-97,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000282,P-98,PROP-013,31.2,UOM-BARG,CFIHOS-00000030
TPV-0000283,P-98,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000284,P-98,PROP-012,24.7,UOM-BARG,CFIHOS-00000030
TPV-0000285,P-98,PROP-004,-2.4,UOM-DEGC,CFIHOS-00000030
TPV-0000286,P-99,PROP-005,1179.5,UOM-M3H,CFIHOS-00000030
TPV-0000287,P-99,PROP-001,134.1,UOM-BARG,CFIHOS-00000030
TPV-0000288,P-99,PROP-012,66.1,UOM-BARG,CFIHOS-00000030
TPV-0000289,P-99,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000290,TT-100,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000291,TT-100,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000292,TT-100,PROP-013,84.7,UOM-BARG,CFIHOS-00000030
TPV-0000293,TT-100,PROP-003,53.0,UOM-BARG,CFIHOS-00000030
TPV-0000294,COL-101,PROP-012,4.5,UOM-BARG,CFIHOS-00000030
TPV-0000295,COL-101,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0000296,COL-101,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000297,COL-101,PROP-004,225.4,UOM-DEGC,CFIHOS-00000030
TPV-0000298,XV-102,PROP-012,22.2,UOM-BARG,CFIHOS-00000030
TPV-0000299,XV-102,PROP-002,31.3,UOM-DEGC,CFIHOS-00000030
TPV-0000300,XV-102,PROP-005,2051.7,UOM-M3H,CFIHOS-00000030
TPV-0000301,FCV-103,PROP-009,300#,,CFIHOS-00000030
TPV-0000302,FCV-103,PROP-004,196.1,UOM-DEGC,CFIHOS-00000030
TPV-0000303,FCV-103,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0000304,PT-104,PROP-005,467.7,UOM-M3H,CFIHOS-00000030
TPV-0000305,PT-104,PROP-008,300,UOM-MM,CFIHOS-00000030
TPV-0000306,PT-104,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000307,FT-105,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0000308,FT-105,PROP-011,1266.0,UOM-KG,CFIHOS-00000030
TPV-0000309,FT-105,PROP-005,2475.6,UOM-M3H,CFIHOS-00000030
TPV-0000310,FT-105,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000311,V-106,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000312,V-106,PROP-001,124.0,UOM-BARG,CFIHOS-00000030
TPV-0000313,XV-107,PROP-002,111.3,UOM-DEGC,CFIHOS-00000030
TPV-0000314,XV-107,PROP-005,1204.2,UOM-M3H,CFIHOS-00000030
TPV-0000315,FT-108,PROP-012,85.5,UOM-BARG,CFIHOS-00000030
TPV-0000316,FT-108,PROP-003,75.4,UOM-BARG,CFIHOS-00000030
TPV-0000317,FT-108,PROP-009,150#,,CFIHOS-00000030
TPV-0000318,V-109,PROP-010,None,,CFIHOS-00000030
TPV-0000319,V-109,PROP-006,919.7,UOM-KW,CFIHOS-00000030
TPV-0000320,V-109,PROP-001,102.6,UOM-BARG,CFIHOS-00000030
TPV-0000321,V-109,PROP-012,97.3,UOM-BARG,CFIHOS-00000030
TPV-0000322,P-110,PROP-002,101.5,UOM-DEGC,CFIHOS-00000030
TPV-0000323,P-110,PROP-012,10.2,UOM-BARG,CFIHOS-00000030
TPV-0000324,K-111,PROP-012,3.6,UOM-BARG,CFIHOS-00000030
TPV-0000325,K-111,PROP-004,27.0,UOM-DEGC,CFIHOS-00000030
TPV-0000326,PSV-112,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000327,PSV-112,PROP-009,150#,,CFIHOS-00000030
TPV-0000328,PSV-112,PROP-001,56.5,UOM-BARG,CFIHOS-00000030
TPV-0000329,LT-113,PROP-005,2383.9,UOM-M3H,CFIHOS-00000030
TPV-0000330,LT-113,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0000331,LT-113,PROP-004,152.3,UOM-DEGC,CFIHOS-00000030
TPV-0000332,LT-113,PROP-001,35.6,UOM-BARG,CFIHOS-00000030
TPV-0000333,FT-114,PROP-004,86.0,UOM-DEGC,CFIHOS-00000030
TPV-0000334,FT-114,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0000335,FT-114,PROP-011,3651.7,UOM-KG,CFIHOS-00000030
TPV-0000336,FCV-115,PROP-006,916.5,UOM-KW,CFIHOS-00000030
TPV-0000337,FCV-115,PROP-002,290.8,UOM-DEGC,CFIHOS-00000030
TPV-0000338,PSV-116,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0000339,PSV-116,PROP-013,84.2,UOM-BARG,CFIHOS-00000030
TPV-0000340,P-117,PROP-013,45.0,UOM-BARG,CFIHOS-00000030
