otAssetId,tagNumber,deviceType,firmwareVersion,ipAddress,macAddress,vendor,purdueLevel,isInternetFacing
OTA-000079,PT-201,Sensor,5.5.6,192.168.40.15,B6:56:0E:1F:AE:2D,Halberd Valve Corporation,1,false
OTA-000080,FCV-202,Positioner/RTU,2.1.8,192.168.14.92,B2:33:C1:73:04:A3,Halberd Valve Corporation,1,false
OTA-000081,FCV-206,Positioner/RTU,3.7.9,192.168.6.150,EB:00:01:61:2B:09,Ironclad Controls Inc.,1,false
OTA-000082,LT-209,Sensor,1.0.0,192.168.17.244,6C:69:D0:AB:83:97,Ironclad Controls Inc.,1,false
OTA-000083,FT-211,Sensor,5.2.9,192.168.27.226,E5:59:9A:7C:E1:37,Halberd Valve Corporation,0,false
OTA-000084,FT-213,Sensor,4.0.8,192.168.8.220,0C:71:8A:84:E4:BC,Ironclad Controls Inc.,1,false
OTA-000085,PT-215,Sensor,1.6.7,192.168.15.132,90:65:E9:7C:07:EB,Halberd Valve Corporation,0,false
OTA-000086,PT-217,Sensor,1.1.5,192.168.23.40,10:B2:A4:EE:F1:AD,Halberd Valve Corporation,0,false
OTA-000087,PT-218,Sensor,1.0.9,192.168.14.162,D4:9F:51:57:4A:72,Halberd Valve Corporation,0,false
OTA-000088,FT-221,Sensor,5.2.5,192.168.37.191,A1:7C:70:ED:AA:A2,Halberd Valve Corporation,1,false
OTA-000089,TT-222,Sensor,5.3.0,192.168.24.47,8D:51:E8:95:B7:A0,Halberd Valve Corporation,1,false
OTA-000090,TT-224,Sensor,4.7.8,192.168.5.163,0B:62:AC:B4:22:A2,Sentinel Automation Services,0,false
OTA-000091,TT-225,Sensor,3.5.6,192.168.29.86,7A:F6:7E:6B:C5:16,Ironclad Controls Inc.,0,false
OTA-000092,TT-226,Sensor,5.6.8,192.168.17.113,24:9D:53:C7:F2:B0,Ironclad Controls Inc.,0,false
OTA-000093,PT-232,Sensor,1.5.3,192.168.1.30,46:CE:76:25:65:15,Ironclad Controls Inc.,0,false
OTA-000094,TT-236,Sensor,3.7.1,192.168.15.202,89:C2:E8:AE:E6:00,Sentinel Automation Services,1,false
OTA-000095,LT-237,Sensor,5.3.6,192.168.7.167,E4:A0:05:B0:6A:79,Ironclad Controls Inc.,1,false
OTA-000096,TT-239,Sensor,3.0.7,192.168.6.169,B1:F1:2B:11:3B:F5,Halberd Valve Corporation,0,false
OTA-000097,FCV-240,Positioner/RTU,5.4.1,192.168.16.104,53:40:E8:9D:6D:D9,Halberd Valve Corporation,0,false
OTA-000098,LT-242,Sensor,2.1.8,192.168.36.73,61:24:2A:4A:79:A4,Sentinel Automation Services,1,false
OTA-000099,PT-243,Sensor,3.0.1,192.168.2.182,72:3F:98:C0:01:D1,Halberd Valve Corporation,1,false
OTA-000100,FCV-244,Positioner/RTU,1.9.8,192.168.16.120,2D:3C:F9:F2:C3:7A,Sentinel Automation Services,0,false
OTA-000101,TT-245,Sensor,1.9.0,192.168.11.198,F5:34:0A:DB:88:62,Sentinel Automation Services,0,false
OTA-000102,PT-252,Sensor,5.5.9,192.168.25.107,56:BC:73:23:DF:01,Sentinel Automation Services,1,false
OTA-000103,LT-253,Sensor,4.4.5,192.168.11.221,80:03:6F:77:68:FE,Ironclad Controls Inc.,1,false
OTA-000104,LT-257,Sensor,3.6.1,192.168.32.244,91:9A:B0:22:F6:7B,Halberd Valve Corporation,1,false
OTA-000105,FT-260,Sensor,4.6.1,192.168.36.39,7A:B8:45:25:0A:96,Ironclad Controls Inc.,0,false
OTA-000106,PT-261,Sensor,3.1.8,192.168.25.148,C1:51:DC:57:E8:36,Ironclad Controls Inc.,1,false
OTA-000107,LT-264,Sensor,1.4.1,192.168.31.189,58:1F:50:5F:B1:07,Ironclad Controls Inc.,1,false
OTA-000108,FCV-266,Positioner/RTU,2.0.2,192.168.27.200,0C:27:A0:34:AD:4C,Sentinel Automation Services,0,false
OTA-000109,TT-267,Sensor,4.6.2,192.168.24.114,A2:EA:B0:59:0F:FB,Sentinel Automation Services,1,false
OTA-000110,TT-268,Sensor,4.0.6,192.168.9.227,41:A6:2F:E0:E0:56,Halberd Valve Corporation,1,false
OTA-000111,FCV-269,Positioner/RTU,5.0.9,192.168.25.119,F3:C9:07:1F:A7:11,Halberd Valve Corporation,1,false
OTA-000112,FCV-274,Positioner/RTU,3.8.9,192.168.2.35,B6:A6:63:D6:C8:35,Halberd Valve Corporation,0,false
OTA-000113,LT-276,Sensor,4.9.6,192.168.25.102,09:44:B9:A9:40:6B,Sentinel Automation Services,1,false
OTA-000114,FCV-277,Positioner/RTU,5.6.1,192.168.30.59,0C:34:12:14:B6:B9,Sentinel Automation Services,0,false
OTA-000115,FCV-279,Positioner/RTU,2.8.9,192.168.11.185,30:EC:98:C4:D6:6C,Ironclad Controls Inc.,0,false
OTA-000116,FT-285,Sensor,1.6.2,192.168.18.2,B4:F3:10:3D:84:16,Halberd Valve Corporation,0,false
OTA-000117,FT-293,Sensor,2.6.8,192.168.7.203,B1:CC:B7:D3:A0:24,Halberd Valve Corporation,1,false
OTA-000118,TT-296,Sensor,1.6.2,192.168.23.11,BE:B9:9B:CD:36:03,Ironclad Controls Inc.,1,false
OTA-000119,FCV-298,Positioner/RTU,2.7.2,192.168.18.232,9C:EC:EF:05:47:D1,Halberd Valve Corporation,0,false
OTA-000120,TT-300,Sensor,3.3.8,192.168.1.87,25:42:9F:CF:07:AD,Ironclad Controls Inc.,0,false
OTA-000121,TT-306,Sensor,3.3.3,192.168.20.3,CB:F4:29:97:2D:8E,Ironclad Controls Inc.,1,false
OTA-000122,PT-309,Sensor,1.5.3,192.168.14.41,6A:68:D2:FD:7C:C2,Ironclad Controls Inc.,0,false
OTA-000123,FT-311,Sensor,3.6.5,192.168.25.199,67:38:9D:29:F9:20,Ironclad Controls Inc.,1,false
OTA-000124,LT-314,Sensor,2.0.2,192.168.14.16,39:13:C2:CF:6B:B9,Ironclad Controls Inc.,0,false
OTA-000125,LT-320,Sensor,1.8.3,192.168.37.39,AE:E0:22:1B:EE:79,Ironclad Controls Inc.,0,false
OTA-000126,PT-321,Sensor,1.1.8,192.168.27.215,49:E2:47:0A:42:50,Sentinel Automation Services,1,false
OTA-000127,FT-324,Sensor,2.4.1,192.168.6.30,BB:7B:8A:18:C2:89,Ironclad Controls Inc.,1,false
OTA-000128,LT-327,Sensor,1.9.4,192.168.1.196,01:FD:69:AB:0F:00,Halberd Valve Corporation,1,false
OTA-000129,PT-333,Sensor,3.7.2,192.168.9.158,77:29:F2:03:04:C2,Halberd Valve Corporation,1,false
OTA-000130,PT-334,Sensor,5.4.1,192.168.37.4,D1:CB:1F:EE:6F:50,Halberd Valve Corporation,0,false
OTA-000131,FT-338,Sensor,1.1.6,192.168.35.132,55:79:E1:E6:32:8C,Halberd Valve Corporation,1,false
OTA-000132,FT-340,Sensor,5.9.5,192.168.33.95,13:1C:29:2F:FD:75,Ironclad Controls Inc.,1,false
OTA-000133,FT-343,Sensor,2.4.2,192.168.39.94,17:E8:62:85:F7:D3,Halberd Valve Corporation,1,false
OTA-000134,PT-347,Sensor,3.5.9,192.168.17.139,81:45:5C:6F:3B:C0,Ironclad Controls Inc.,1,false
OTA-000135,PT-348,Sensor,4.2.4,192.168.4.53,4A:2B:CE:2E:66:9C,Ironclad Controls Inc.,0,false
OTA-000136,PT-350,Sensor,5.6.3,192.168.20.144,33:90:1D:B0:AC:67,Halberd Valve Corporation,0,false
OTA-000137,FT-351,Sensor,1.8.6,192.168.17.206,79:5B:B2:0F:B7:7C,Ironclad Controls Inc.,0,false
OTA-000138,PT-352,Sensor,2.8.1,192.168.34.221,A1:8E:E8:0C:1F:5C,Sentinel Automation Services,1,false
OTA-000139,FCV-357,Positioner/RTU,4.8.6,192.168.21.63,68:44:FA:C1:98:EA,Halberd Valve Corporation,0,false
OTA-000140,LT-362,Sensor,3.9.0,192.168.14.110,AA:14:54:01:01:01,Halberd Valve Corporation,0,false
OTA-000141,LT-363,Sensor,5.7.1,192.168.38.242,26:8D:31:A0:9C:D6,Sentinel Automation Services,1,false
OTA-000142,FCV-369,Positioner/RTU,5.9.8,192.168.30.172,C6:D6:BC:BD:2A:10,Halberd Valve Corporation,1,false
OTA-000143,PT-370,Sensor,4.4.9,192.168.12.12,5B:13:E8:73:06:1E,Ironclad Controls Inc.,1,false
OTA-000144,FT-374,Sensor,1.3.7,192.168.1.159,40:1B:FB:62:C3:70,Ironclad Controls Inc.,1,false
OTA-000145,TT-377,Sensor,4.7.8,192.168.25.224,53:E9:FE:4E:8E:21,Ironclad Controls Inc.,0,false
OTA-000146,FT-378,Sensor,2.3.6,192.168.18.109,56:F1:51:9E:32:9A,Sentinel Automation Services,1,false
OTA-000147,LT-381,Sensor,2.1.4,192.168.17.166,09:3A:BB:9D:E5:25,Halberd Valve Corporation,0,false
OTA-000148,PT-382,Sensor,1.1.0,192.168.29.97,CD:A2:5B:96:0C:5F,Ironclad Controls Inc.,0,false
OTA-000149,PT-389,Sensor,4.8.7,192.168.24.218,3B:54:34:95:87:49,Halberd Valve Corporation,1,false
OTA-000150,PT-392,Sensor,1.7.9,192.168.1.196,23:F2:59:76:2C:40,Sentinel Automation Services,1,false
OTA-000151,FT-393,Sensor,2.7.6,192.168.40.144,97:44:31:27:A3:47,Sentinel Automation Services,1,false
OTA-000152,TT-395,Sensor,4.0.4,192.168.11.25,CF:F8:DC:46:DD:5E,Sentinel Automation Services,0,false
OTA-000153,FT-396,Sensor,4.3.1,192.168.4.21,6A:79:25:3F:33:A9,Halberd Valve Corporation,0,false
OTA-000154,FCV-397,Positioner/RTU,3.5.8,192.168.30.239,46:76:DB:0C:57:E7,Ironclad Controls Inc.,1,false
OTA-000155,FT-398,Sensor,4.1.5,192.168.39.56,C8:C0:74:8D:FA:E2,Sentinel Automation Services,1,false
OTA-000156,LT-399,Sensor,2.7.4,192.168.32.67,35:44:45:64:7D:26,Ironclad Controls Inc.,0,false
OTA-000157,LT-401,Sensor,3.5.2,192.168.23.131,51:29:5C:1D:8A:41,Sentinel Automation Services,1,false
OTA-000158,FCV-402,Positioner/RTU,3.0.2,192.168.13.119,B0:40:54:46:D9:5F,Sentinel Automation Services,1,false
OTA-000159,TT-403,Sensor,4.9.4,192.168.39.112,5D:4A:C4:7D:89:9C,Sentinel Automation Services,1,false
OTA-000160,LT-404,Sensor,4.7.9,192.168.3.41,90:A3:F5:9C:DC:D4,Sentinel Automation Services,1,false
OTA-000161,LT-405,Sensor,1.3.0,192.168.29.79,F5:EA:D9:96:8C:39,Ironclad Controls Inc.,0,false
OTA-000162,FCV-406,Positioner/RTU,2.7.9,192.168.8.116,C9:02:49:DE:97:4B,Ironclad Controls Inc.,0,false
OTA-000163,LT-409,Sensor,5.7.3,192.168.8.217,50:5A:34:49:32:6E,Sentinel Automation Services,0,false
OTA-000164,PT-413,Sensor,3.5.8,192.168.4.173,29:87:19:9A:54:4A,Ironclad Controls Inc.,1,false
OTA-000165,FCV-416,Positioner/RTU,2.7.6,192.168.17.202,64:E8:EC:F1:ED:5C,Sentinel Automation Services,0,false
OTA-000166,TT-419,Sensor,4.4.7,192.168.25.81,46:3B:59:04:3F:83,Halberd Valve Corporation,1,false
OTA-000167,LT-420,Sensor,4.2.4,192.168.22.233,E4:FE:5F:A3:A4:84,Ironclad Controls Inc.,1,false
OTA-000168,FT-421,Sensor,1.2.6,192.168.5.166,E2:CE:47:BB:B5:B1,Sentinel Automation Services,1,false
OTA-000169,LT-422,Sensor,2.6.9,192.168.38.139,7C:F8:D3:6F:93:67,Ironclad Controls Inc.,1,false
OTA-000170,FCV-424,Positioner/RTU,1.1.4,192.168.19.235,28:05:18:28:0A:1E,Halberd Valve Corporation,0,false
OTA-000171,PT-430,Sensor,1.4.3,192.168.21.170,FF:94:4D:6E:62:DB,Sentinel Automation Services,0,false
OTA-000172,FCV-431,Positioner/RTU,4.7.8,192.168.23.202,3A:3C:D9:10:ED:62,Halberd Valve Corporation,1,false
OTA-000173,TT-438,Sensor,1.1.2,192.168.24.47,F5:6B:F8:AD:4E:B8,Sentinel Automation Services,0,false
OTA-000174,PT-440,Sensor,1.9.2,192.168.25.176,2F:0A:A3:A3:22:FE,Halberd Valve Corporation,0,false
OTA-000175,PT-441,Sensor,1.6.2,192.168.38.228,B2:A1:52:87:61:86,Sentinel Automation Services,0,false
OTA-000176,LT-442,Sensor,5.9.5,192.168.14.100,D8:E1:04:C5:F1:01,Sentinel Automation Services,1,false
OTA-000177,FT-449,Sensor,1.3.9,192.168.3.29,72:B5:F2:BF:10:EF,Halberd Valve Corporation,1,false
OTA-000178,PT-450,Sensor,5.4.2,192.168.26.35,FB:6B:BC:04:D9:EE,Sentinel Automation Services,1,false
OTA-000179,PT-451,Sensor,5.9.5,192.168.36.8,21:F2:76:AB:84:38,Halberd Valve Corporation,1,false
OTA-000180,FCV-454,Positioner/RTU,2.8.9,192.168.18.192,79:3B:AC:68:79:54,Sentinel Automation Services,0,false
OTA-000181,PT-458,Sensor,5.1.0,192.168.6.244,7C:7C:05:15:C9:98,Ironclad Controls Inc.,1,false
OTA-000182,PT-463,Sensor,5.7.9,192.168.30.231,F4:4F:34:A2:89:FF,Halberd Valve Corporation,1,false
OTA-000183,FCV-472,Positioner/RTU,3.6.6,192.168.19.235,F9:2D:E2:B9:61:5F,Halberd Valve Corporation,1,false
OTA-000184,PT-479,Sensor,5.2.8,192.168.24.177,FE:88:19:68:83:36,Halberd Valve Corporation,1,false
OTA-000185,TT-483,Sensor,1.4.0,192.168.40.111,DC:70:DC:80:C2:7B,Sentinel Automation Services,1,false
OTA-000186,LT-484,Sensor,2.8.3,192.168.4.193,41:B8:C9:DC:A9:B2,Halberd Valve Corporation,1,false
OTA-000187,FT-487,Sensor,2.5.9,192.168.4.44,C2:78:FC:47:AE:3D,Ironclad Controls Inc.,1,false
OTA-000188,FCV-488,Positioner/RTU,2.1.1,192.168.8.5,FB:40:F6:66:73:00,Ironclad Controls Inc.,1,false
OTA-000189,TT-489,Sensor,4.4.6,192.168.35.89,AB:66:9C:66:22:89,Ironclad Controls Inc.,0,false
OTA-000190,TT-491,Sensor,3.6.8,192.168.8.181,2F:C6:F9:8D:7A:77,Sentinel Automation Services,1,false
OTA-000191,PT-492,Sensor,4.0.8,192.168.10.65,F6:69:9A:8E:4B:02,Halberd Valve Corporation,0,false
OTA-000192,FT-494,Sensor,5.8.7,192.168.17.51,62:F5:4C:3A:F6:D4,Sentinel Automation Services,0,false
OTA-000193,PT-495,Sensor,4.1.6,192.168.25.139,50:5E:E5:00:FC:F4,Halberd Valve Corporation,0,false
OTA-000194,PT-496,Sensor,3.3.1,192.168.5.224,B8:06:98:94:0E:79,Ironclad Controls Inc.,0,false
OTA-000195,FT-497,Sensor,3.0.7,192.168.8.221,2C:1B:EC:7A:73:B3,Ironclad Controls Inc.,1,false
OTA-000196,FCV-498,Positioner/RTU,2.7.0,192.168.33.244,46:51:A9:AD:70:4E,Ironclad Controls Inc.,0,false
OTA-000197,FT-499,Sensor,5.2.5,192.168.23.221,BF:05:82:30:D0:70,Ironclad Controls Inc.,1,false
OTA-000198,FCV-501,Positioner/RTU,2.6.0,192.168.16.143,03:84:70:C4:E7:E2,Ironclad Controls Inc.,1,false
OTA-000199,LT-502,Sensor,3.5.3,192.168.12.194,FF:E4:95:EF:E0:AA,Sentinel Automation Services,0,false
OTA-000200,LT-504,Sensor,5.7.6,192.168.27.138,DB:8E:2B:13:32:A8,Ironclad Controls Inc.,0,false
OTA-000201,PT-505,Sensor,5.4.9,192.168.11.154,72:87:85:99:01:9B,Ironclad Controls Inc.,1,false
OTA-000202,PT-507,Sensor,2.9.1,192.168.23.196,21:FB:40:9B:EF:AE,Sentinel Automation Services,0,false
OTA-000203,TT-508,Sensor,3.9.6,192.168.22.230,27:F1:2F:AE:41:37,Ironclad Controls Inc.,1,false
OTA-000204,FCV-509,Positioner/RTU,3.2.5,192.168.1.91,E0:EF:3E:2B:64:AD,Halberd Valve Corporation,0,false
OTA-000205,FT-510,Sensor,4.0.7,192.168.14.136,72:53:B5:66:D5:51,Halberd Valve Corporation,0,false
OTA-000206,PT-512,Sensor,5.5.0,192.168.3.95,07:85:1C:04:98:09,Ironclad Controls Inc.,0,false
OTA-000207,TT-514,Sensor,2.4.8,192.168.19.189,BF:E0:32:92:7A:23,Halberd Valve Corporation,0,false
OTA-000208,LT-518,Sensor,5.1.5,192.168.38.27,7B:EA:CF:43:8C:0F,Sentinel Automation Services,1,false
OTA-000209,PT-522,Sensor,4.7.6,192.168.1.73,C4:25:6C:3E:EA:AB,Sentinel Automation Services,1,false
OTA-000210,FT-523,Sensor,3.7.7,192.168.16.72,B7:9E:77:A9:66:1D,Sentinel Automation Services,0,false
OTA-000211,FT-524,Sensor,5.0.0,192.168.16.142,82:A5:C3:F5:B9:36,Sentinel Automation Services,0,false
OTA-000212,FCV-536,Positioner/RTU,1.1.9,192.168.24.103,5B:8F:F7:E0:93:13,Halberd Valve Corporation,1,false
OTA-000213,FCV-539,Positioner/RTU,4.4.9,192.168.3.171,83:69:1B:27:F4:B4,Sentinel Automation Services,0,false
OTA-000214,LT-540,Sensor,1.7.5,192.168.27.251,A0:22:1A:B9:35:96,Sentinel Automation Services,1,false
OTA-000215,LT-541,Sensor,1.4.9,192.168.14.174,A0:1C:51:03:31:3F,Ironclad Controls Inc.,0,false
OTA-000216,PT-542,Sensor,4.3.1,192.168.26.61,E3:8F:EB:F4:A7:5F,Ironclad Controls Inc.,0,false
OTA-000217,FT-544,Sensor,5.8.9,192.168.15.252,2F:79:68:7C:03:7E,Sentinel Automation Services,0,false
OTA-000218,LT-552,Sensor,4.2.1,192.168.38.108,30:C3:8C:15:BB:BB,Halberd Valve Corporation,0,false
